,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,snow,time,precio
0,28.0,5.0,26,21.5,12,E10,0,0,0,0,1.0769230769230769,1.606
1,12.0,4.2,30,21.5,13,E10,0,0,0,0,0.4,1.606
2,11.2,5.5,38,21.5,15,E10,0,0,0,0,0.29473684210526313,1.606
3,12.9,3.9,36,21.5,14,E10,0,0,0,0,0.35833333333333334,1.606
4,18.5,4.5,46,21.5,15,E10,0,0,0,0,0.40217391304347827,1.606
5,8.3,6.4,50,21.5,10,E10,0,0,0,0,0.166,1.606
6,7.8,4.4,43,21.5,11,E10,0,0,0,0,0.18139534883720929,1.606
7,12.3,5.0,40,21.5,6,E10,0,0,0,0,0.3075,1.606
8,4.9,6.4,26,21.5,4,E10,0,0,0,0,0.18846153846153849,1.606
9,11.9,5.3,30,21.5,9,E10,0,0,0,0,0.39666666666666667,1.606
10,12.4,5.6,42,21.5,4,E10,0,0,0,0,0.29523809523809524,1.606
11,11.8,4.6,38,21.5,0,E10,0,0,0,0,0.3105263157894737,1.606
12,12.3,5.9,59,21.5,10,E10,0,0,0,0,0.20847457627118646,1.606
13,24.7,5.1,58,21.5,12,E10,0,0,0,0,0.4258620689655172,1.606
14,12.4,4.7,46,21.5,11,E10,0,0,0,0,0.26956521739130435,1.606
15,17.3,5.1,24,21.5,5,E10,0,0,0,0,0.7208333333333333,1.606
16,33.4,5.6,36,21.5,3,E10,0,0,0,0,0.9277777777777777,1.606
17,11.8,5.1,32,21.5,3,E10,0,0,0,0,0.36875,1.606
18,25.9,4.9,39,21.5,8,E10,0,0,0,0,0.6641025641025641,1.606
19,11.8,4.7,40,21.5,4,E10,0,0,0,0,0.29500000000000004,1.606
20,25.3,5.5,32,21.5,3,E10,0,0,0,0,0.790625,1.606
21,14.2,5.9,38,21.5,1,E10,0,0,0,0,0.3736842105263158,1.606
22,17.9,5.7,37,21.5,1,E10,0,0,0,0,0.4837837837837837,1.606
23,11.8,4.7,36,21.5,1,E10,0,0,0,0,0.3277777777777778,1.606
24,12.3,5.9,62,21.5,6,E10,0,0,0,0,0.19838709677419356,1.606
25,12.4,4.1,57,21.5,9,E10,0,0,0,0,0.21754385964912282,1.606
26,18.4,5.7,21,22.5,2,E10,0,0,0,0,0.8761904761904761,1.606
27,18.4,5.8,28,21.5,3,E10,0,0,0,0,0.6571428571428571,1.606
28,18.3,5.5,29,21.5,1,E10,0,0,0,0,0.6310344827586207,1.606
29,18.4,5.7,35,21.5,4,E10,0,0,0,0,0.5257142857142857,1.606
30,12.3,5.3,51,21.5,11,E10,0,0,0,0,0.2411764705882353,1.606
31,11.8,5.0,29,21.5,10,E10,0,0,0,0,0.40689655172413797,1.606
32,12.3,5.6,58,21.5,8,E10,0,0,0,0,0.2120689655172414,1.606
33,32.6,4.8,40,21.5,7,E10,0,0,0,0,0.8150000000000001,1.606
34,19.0,4.3,36,21.5,7,E10,0,0,0,0,0.5277777777777778,1.606
35,12.1,5.7,36,21.5,8,E10,0,0,0,0,0.3361111111111111,1.606
36,20.0,5.2,37,21.5,4,E10,0,0,0,0,0.5405405405405406,1.606
37,4.9,7.4,26,21.5,6,E10,0,0,0,0,0.18846153846153849,1.606
38,11.8,4.8,23,21.5,9,E10,0,0,0,0,0.5130434782608696,1.606
39,12.3,6.5,58,21.5,7,E10,0,0,0,0,0.2120689655172414,1.606
40,12.4,4.0,55,21.5,7,E10,1,1,0,0,0.22545454545454546,1.606
41,4.5,5.0,29,21.5,7,E10,1,0,0,0,0.15517241379310345,1.606
42,11.7,4.6,37,21.5,6,E10,0,0,0,0,0.3162162162162162,1.606
43,10.2,4.3,44,21.5,7,E10,0,0,0,0,0.2318181818181818,1.606
44,5.4,3.3,32,21.5,7,SP98,0,0,0,0,0.16875,1.606
45,2.0,9.9,21,21.5,4,SP98,0,0,0,0,0.09523809523809523,1.606
46,14.2,5.1,32,21.5,7,SP98,0,0,0,0,0.44375,1.606
47,16.0,4.9,25,21.5,8,SP98,0,0,0,0,0.64,1.606
