distance,consume,speed,temp_outside,AC,rain,snow,sun
5.4,3.3,32,7,0,0,0,0
2.0,9.9,21,4,0,0,0,0
14.2,5.1,32,7,0,0,0,0
16.0,4.9,25,8,0,0,0,0
11.8,4.9,25,11,0,0,0,0
27.3,4.7,36,10,0,0,0,0
11.8,5.1,29,5,0,1,0,0
10.6,4.9,63,6,0,0,0,0
11.6,4.2,61,7,0,0,0,0
13.1,6.1,46,6,0,1,0,0
6.1,6.4,28,8,0,0,0,0
153.5,4.9,82,3,0,1,0,0
11.8,4.9,24,7,0,0,0,0
12.3,6.2,61,8,0,0,0,0
12.4,4.2,57,8,0,0,0,0
12.3,5.7,52,8,0,1,0,0
2.9,7.9,18,9,1,1,0,0
2.1,12.2,23,9,1,0,0,0
9.8,5.8,24,6,0,0,0,0
6.8,5.3,26,6,0,0,0,0
12.4,5.4,24,7,0,0,0,0
12.4,4.7,57,8,0,0,0,0
11.8,4.6,41,6,0,0,0,0
12.3,5.4,55,8,0,0,0,0
14.0,4.3,40,8,0,0,0,0
11.8,4.5,37,4,1,0,0,0
12.3,5.2,55,12,0,0,0,0
2.0,6.2,20,10,0,0,0,0
13.9,5.1,29,6,0,0,0,0
9.7,3.9,42,8,0,0,0,0
11.6,5.0,25,6,0,0,0,0
14.2,5.4,38,7,0,0,0,0
11.8,4.5,39,6,0,0,0,0
24.8,5.1,50,9,0,0,0,0
12.4,4.7,56,7,0,0,0,0
34.8,4.0,28,4,0,0,0,0
14.2,5.4,36,6,0,0,0,0
5.2,4.5,39,10,0,0,0,0
10.5,3.6,42,10,0,0,0,0
12.3,5.2,57,10,0,0,0,0
11.8,4.9,25,11,0,0,0,0
12.3,6.2,58,11,0,1,0,0
13.2,4.3,51,11,0,1,0,0
13.0,5.0,45,11,0,1,0,0
12.9,5.1,32,11,0,0,0,0
13.9,5.6,22,8,0,0,0,0
11.8,4.3,37,6,0,0,0,0
12.2,5.8,60,11,0,0,0,0
12.5,4.0,51,13,0,0,0,0
12.4,4.7,43,10,0,0,0,0
11.8,5.9,21,9,1,1,0,0
11.8,5.3,52,11,0,0,0,0
12.5,4.2,57,11,0,0,0,0
15.7,5.3,33,9,0,0,0,0
12.9,5.7,35,9,0,0,0,0
6.4,4.4,37,10,0,0,0,0
5.3,4.1,34,9,0,0,0,0
26.2,5.8,71,8,1,1,0,0
18.8,5.0,62,9,0,1,0,0
4.9,6.9,25,12,0,1,0,0
12.4,5.4,18,11,1,1,0,0
22.9,5.3,45,7,0,0,0,0
162.7,5.5,75,1,0,0,0,0
4.9,6.5,26,1,0,0,0,0
11.8,4.7,36,4,0,0,0,0
16.6,5.1,56,7,0,0,0,0
12.4,5.7,37,7,0,0,0,0
15.9,5.4,25,7,0,0,0,0
5.1,8.7,21,5,0,0,0,0
22.4,4.9,66,7,0,0,0,0
31.1,4.7,42,7,0,0,0,0
4.9,6.3,27,3,0,0,0,0
11.8,5.1,26,4,0,1,0,0
22.9,6.0,42,4,0,1,0,0
12.4,4.6,38,1,0,0,1,0
12.9,5.8,40,4,0,0,0,0
11.8,5.1,43,0,0,0,0,0
12.2,5.8,58,2,0,0,0,0
24.8,4.6,55,3,0,0,0,0
14.2,5.6,24,8,0,0,0,0
11.8,4.6,38,0,0,0,1,0
12.2,6.3,57,0,0,0,1,0
24.7,5.5,56,1,0,0,0,0
6.8,4.3,46,2,0,0,0,0
17.3,5.6,37,1,0,0,0,0
11.8,4.3,44,-3,0,0,0,0
15.9,5.7,46,5,0,0,0,0
5.1,6.4,39,4,0,0,0,0
16.1,4.5,33,6,0,0,0,0
11.8,4.5,43,3,0,0,0,0
4.2,6.0,26,5,0,0,0,0
17.4,5.1,30,5,0,0,0,0
23.5,6.0,25,5,0,1,0,0
11.8,4.5,38,5,0,1,0,0
12.3,6.1,61,10,0,1,0,0
43.7,4.7,44,9,0,1,0,0
12.1,4.2,43,4,0,0,0,0
56.1,4.8,82,13,0,0,0,0
39.0,4.1,61,16,0,0,0,0
11.8,4.5,41,13,0,0,0,0
38.5,4.8,63,14,0,0,0,0
28.2,4.6,54,14,0,0,0,0
