distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,snow,temp_gradient,gas_price,con_dis,price_dis
28.0,5.0,26,21.5,12,E10,False,False,False,False,-9.5,1.823,0.17857142857142858,0.32553571428571426
12.0,4.2,30,21.5,13,E10,False,False,False,False,-8.5,1.823,0.35000000000000003,0.63805
11.2,5.5,38,21.5,15,E10,False,False,False,False,-6.5,1.823,0.4910714285714286,0.8952232142857143
12.9,3.9,36,21.5,14,E10,False,False,False,False,-7.5,1.823,0.3023255813953488,0.5511395348837209
18.5,4.5,46,21.5,15,E10,False,False,False,False,-6.5,1.823,0.24324324324324326,0.44343243243243247
8.3,6.4,50,21.5,10,E10,False,False,False,False,-11.5,1.823,0.7710843373493975,1.4056867469879517
7.8,4.4,43,21.5,11,E10,False,False,False,False,-10.5,1.823,0.5641025641025642,1.0283589743589745
12.3,5.0,40,21.5,6,E10,False,False,False,False,-15.5,1.823,0.4065040650406504,0.7410569105691056
4.9,6.4,26,21.5,4,E10,False,False,False,False,-17.5,1.823,1.3061224489795917,2.3810612244897955
11.9,5.3,30,21.5,9,E10,False,False,False,False,-12.5,1.823,0.4453781512605042,0.811924369747899
12.4,5.6,42,21.5,4,E10,False,False,False,False,-17.5,1.823,0.4516129032258064,0.823290322580645
11.8,4.6,38,21.5,0,E10,False,False,False,False,-21.5,1.823,0.38983050847457623,0.7106610169491524
12.3,5.9,59,21.5,10,E10,False,False,False,False,-11.5,1.823,0.4796747967479675,0.8744471544715446
24.7,5.1,58,21.5,12,E10,False,False,False,False,-9.5,1.823,0.20647773279352225,0.37640890688259104
12.4,4.7,46,21.5,11,E10,False,False,False,False,-10.5,1.823,0.3790322580645161,0.6909758064516128
17.3,5.1,24,21.5,5,E10,False,False,False,False,-16.5,1.823,0.29479768786127164,0.5374161849710982
33.4,5.6,36,21.5,3,E10,False,False,False,False,-18.5,1.823,0.16766467065868262,0.30565269461077843
11.8,5.1,32,21.5,3,E10,False,False,False,False,-18.5,1.823,0.43220338983050843,0.7879067796610169
25.9,4.9,39,21.5,8,E10,False,False,False,False,-13.5,1.823,0.1891891891891892,0.3448918918918919
11.8,4.7,40,21.5,4,E10,False,False,False,False,-17.5,1.823,0.3983050847457627,0.7261101694915254
25.3,5.5,32,21.5,3,E10,False,False,False,False,-18.5,1.823,0.21739130434782608,0.3963043478260869
14.2,5.9,38,21.5,1,E10,False,False,False,False,-20.5,1.823,0.41549295774647893,0.7574436619718311
17.9,5.7,37,21.5,1,E10,False,False,False,False,-20.5,1.823,0.3184357541899442,0.5805083798882682
11.8,4.7,36,21.5,1,E10,False,False,False,False,-20.5,1.823,0.3983050847457627,0.7261101694915254
12.3,5.9,62,21.5,6,E10,False,False,False,False,-15.5,1.823,0.4796747967479675,0.8744471544715446
12.4,4.1,57,21.5,9,E10,False,False,False,False,-12.5,1.823,0.33064516129032256,0.602766129032258
18.4,5.7,21,22.5,2,E10,False,False,False,False,-20.5,1.823,0.3097826086956522,0.564733695652174
18.4,5.8,28,21.5,3,E10,False,False,False,False,-18.5,1.823,0.31521739130434784,0.5746413043478261
18.3,5.5,29,21.5,1,E10,False,False,False,False,-20.5,1.823,0.3005464480874317,0.5478961748633879
18.4,5.7,35,21.5,4,E10,False,False,False,False,-17.5,1.823,0.3097826086956522,0.564733695652174
12.3,5.3,51,21.5,11,E10,False,False,False,False,-10.5,1.823,0.4308943089430894,0.7855203252032519
11.8,5.0,29,21.5,10,E10,False,False,False,False,-11.5,1.823,0.423728813559322,0.772457627118644
12.3,5.6,58,21.5,8,E10,False,False,False,False,-13.5,1.823,0.4552845528455284,0.8299837398373983
32.6,4.8,40,21.5,7,E10,False,False,False,False,-14.5,1.823,0.14723926380368096,0.2684171779141104
19.0,4.3,36,21.5,7,E10,False,False,False,False,-14.5,1.823,0.2263157894736842,0.41257368421052626
12.1,5.7,36,21.5,8,E10,False,False,False,False,-13.5,1.823,0.4710743801652893,0.8587685950413224
20.0,5.2,37,21.5,4,E10,False,False,False,False,-17.5,1.823,0.26,0.47398
4.9,7.4,26,21.5,6,E10,False,False,False,False,-15.5,1.823,1.510204081632653,2.7531020408163265
11.8,4.8,23,21.5,9,E10,False,False,False,False,-12.5,1.823,0.4067796610169491,0.7415593220338982
12.3,6.5,58,21.5,7,E10,False,False,False,False,-14.5,1.823,0.5284552845528455,0.9633739837398374
12.4,4.0,55,21.5,7,E10,True,True,False,False,-14.5,1.823,0.3225806451612903,0.5880645161290322
4.5,5.0,29,21.5,7,E10,True,False,False,False,-14.5,1.823,1.1111111111111112,2.0255555555555556
11.7,4.6,37,21.5,6,E10,False,False,False,False,-15.5,1.823,0.39316239316239315,0.7167350427350427
10.2,4.3,44,21.5,7,E10,False,False,False,False,-14.5,1.823,0.4215686274509804,0.7685196078431372
5.4,3.3,32,21.5,7,SP98,False,False,False,False,-14.5,1.953,0.611111111111111,1.1935
2.0,9.9,21,21.5,4,SP98,False,False,False,False,-17.5,1.953,4.95,9.66735
14.2,5.1,32,21.5,7,SP98,False,False,False,False,-14.5,1.953,0.35915492957746475,0.7014295774647887
16.0,4.9,25,21.5,8,SP98,False,False,False,False,-13.5,1.953,0.30625,0.5981062500000001
11.8,4.9,25,21.5,11,SP98,False,False,False,False,-10.5,1.953,0.4152542372881356,0.8109915254237289
27.3,4.7,36,21.5,10,SP98,False,False,False,False,-11.5,1.953,0.17216117216117216,0.3362307692307692
11.8,5.1,29,21.5,5,SP98,False,True,False,False,-16.5,1.953,0.43220338983050843,0.844093220338983
10.6,4.9,63,21.5,6,SP98,False,False,False,False,-15.5,1.953,0.4622641509433963,0.902801886792453
11.6,4.2,61,21.5,7,SP98,False,False,False,False,-14.5,1.953,0.3620689655172414,0.7071206896551725
13.1,6.1,46,21.5,6,SP98,False,True,False,False,-15.5,1.953,0.46564885496183206,0.909412213740458
6.1,6.4,28,21.5,8,SP98,False,False,False,False,-13.5,1.953,1.0491803278688525,2.049049180327869
153.5,4.9,82,21.5,3,SP98,False,True,False,False,-18.5,1.953,0.03192182410423453,0.06234332247557004
11.8,4.9,24,21.5,7,SP98,False,False,False,False,-14.5,1.953,0.4152542372881356,0.8109915254237289
12.3,6.2,61,21.5,8,SP98,False,False,False,False,-13.5,1.953,0.5040650406504065,0.9844390243902439
12.4,4.2,57,21.5,8,SP98,False,False,False,False,-13.5,1.953,0.33870967741935487,0.6615000000000001
12.3,5.7,52,21.5,8,SP98,False,True,False,False,-13.5,1.953,0.46341463414634143,0.9050487804878048
2.9,7.9,18,21.5,9,SP98,True,True,False,False,-12.5,1.953,2.724137931034483,5.320241379310346
2.1,12.2,23,21.5,9,SP98,True,True,False,False,-12.5,1.953,5.809523809523809,11.346
9.8,5.8,24,21.5,6,SP98,False,False,False,False,-15.5,1.953,0.5918367346938775,1.155857142857143
6.8,5.3,26,21.5,6,SP98,False,False,False,False,-15.5,1.953,0.7794117647058824,1.5221911764705882
