iter	RMSE
0	1.019628788
1	1.004844229
2	0.9923567211
3	0.9794383533
4	0.9664048917
5	0.9549546593
6	0.9471726253
7	0.9394215919
8	0.9296331987
9	0.9206632623
10	0.9095127572
11	0.899248194
12	0.8896847394
13	0.8800694859
14	0.8696678173
15	0.8609639316
16	0.8544897032
17	0.8444838025
18	0.8380413539
19	0.831112842
20	0.8236757218
21	0.8165359501
22	0.8106465677
23	0.8044805568
24	0.7968424053
25	0.7916334537
26	0.7843738768
27	0.7790624621
28	0.7714844377
29	0.7662589533
30	0.7595061094
31	0.7537853704
32	0.7498446405
33	0.7443137376
34	0.7398688957
35	0.7345223553
36	0.7290813192
37	0.7250021821
38	0.7193006281
39	0.7159123201
40	0.7119111097
41	0.7065298814
42	0.7027354622
43	0.6989623547
44	0.6947657856
45	0.6917954506
46	0.6884216635
47	0.6837573267
48	0.6806212805
49	0.6766391509
50	0.6741542503
51	0.6713833193
52	0.6693567573
53	0.665817403
54	0.6617716823
55	0.6589276604
56	0.6555598363
57	0.6532240189
58	0.6494204111
59	0.6465484508
60	0.6443910641
61	0.6417749983
62	0.639006505
63	0.6362087797
64	0.633410044
65	0.6308151438
66	0.6284943487
67	0.6262823056
68	0.6237531624
69	0.6217600333
70	0.6194048112
71	0.6174734085
72	0.6151359115
73	0.6123161287
74	0.6102101096
75	0.607892351
76	0.6058469468
77	0.6038322699
78	0.6023309916
79	0.6003637799
80	0.5978090321
81	0.5955906333
82	0.5941901199
83	0.5922039906
84	0.5904829625
85	0.5884687046
86	0.5858630877
87	0.5838310781
88	0.5824889554
89	0.5796434745
90	0.5775794765
91	0.5754505706
92	0.5735716037
93	0.5717382662
94	0.5703958897
95	0.5683419364
96	0.5661400762
97	0.5644882594
98	0.5630054313
99	0.5611431981
100	0.5597943605
101	0.5572992717
102	0.5548137102
103	0.553403946
104	0.5509907295
105	0.5495380168
106	0.5478658766
107	0.5467938858
108	0.5457129505
109	0.5440982375
110	0.5429504223
111	0.541700887
112	0.540077869
113	0.5385367601
114	0.5373146818
115	0.5359090486
116	0.5339690109
117	0.5330585258
118	0.5314742882
119	0.5295419179
120	0.5285858746
121	0.5269759648
122	0.5254764162
123	0.5237032685
124	0.5224162403
125	0.5211604722
126	0.5196817707
127	0.5189349765
128	0.5181878405
129	0.5172328516
130	0.5156114754
131	0.514621996
132	0.5135051345
133	0.5129056748
134	0.5119714009
135	0.5107591457
136	0.509413436
137	0.5082222034
138	0.5073049091
139	0.5067125994
140	0.5056316863
141	0.5049709743
142	0.503625233
143	0.5027072634
144	0.5017331859
145	0.5008059727
146	0.499532469
147	0.4979791931
148	0.4961802925
149	0.4951505998
150	0.4939593415
151	0.492423894
152	0.4915927538
153	0.4905230011
154	0.489659168
155	0.488235217
156	0.4874808985
157	0.4866747792
158	0.4860319395
159	0.4849222042
160	0.4842847038
161	0.4833419255
162	0.4823569993
163	0.4814283859
164	0.4803167657
165	0.4794598731
