iter	Passed	Remaining
0	0	455
1	0	437
2	1	417
3	1	406
4	1	391
5	2	388
6	2	350
7	2	351
8	3	348
9	3	346
10	3	350
11	4	348
12	4	345
13	4	344
14	5	344
15	5	343
16	5	342
17	6	344
18	6	344
19	7	344
20	7	343
21	7	342
22	8	341
23	8	340
24	8	340
25	9	339
26	9	339
27	9	339
28	10	339
29	10	339
30	10	339
31	11	338
32	11	337
33	11	336
34	12	336
35	12	337
36	13	339
37	13	340
38	13	339
39	14	339
40	14	339
41	14	338
42	15	338
43	15	338
44	15	339
45	16	338
46	16	338
47	17	337
48	17	337
49	17	336
50	18	335
51	18	335
52	18	336
53	19	336
54	19	336
55	19	335
56	20	334
57	20	333
58	20	333
59	21	333
60	21	333
61	22	333
62	22	332
63	22	332
64	23	331
65	23	330
66	23	330
67	24	330
68	24	329
69	24	329
70	25	329
71	25	328
72	25	328
73	26	327
74	26	327
75	26	327
76	27	327
77	27	327
78	27	326
79	28	326
80	28	326
81	29	325
82	29	325
83	29	325
84	30	325
85	30	324
86	30	324
87	31	324
88	31	323
89	31	323
90	32	323
91	32	323
92	33	323
93	33	322
94	33	322
95	34	322
96	34	321
97	34	322
98	35	321
99	35	321
100	36	321
101	36	321
102	36	321
103	37	321
104	37	320
105	38	320
106	38	320
107	38	320
108	39	319
109	39	319
110	39	319
111	40	319
112	40	318
113	40	318
114	41	317
115	41	317
116	41	316
117	42	316
118	42	315
119	42	315
120	43	314
121	43	314
122	44	314
123	44	314
124	44	314
125	45	314
126	45	314
127	46	314
128	46	314
129	46	313
130	47	313
131	47	313
132	48	312
133	48	311
134	48	311
135	48	310
136	49	310
137	49	310
138	50	310
139	50	309
140	50	309
141	51	309
142	51	308
143	51	308
144	52	307
145	52	307
146	52	307
147	53	307
148	53	306
149	54	306
150	54	305
151	54	305
152	55	304
153	55	304
154	55	304
155	56	303
156	56	303
157	56	302
158	57	302
159	57	302
160	57	301
161	58	301
162	58	301
163	59	301
164	59	301
165	59	300
166	60	300
167	60	300
168	61	299
169	61	299
170	61	298
171	62	298
172	62	297
173	62	297
174	63	297
175	63	297
176	63	296
177	64	296
178	64	295
179	64	295
180	65	294
181	65	294
182	65	293
183	66	293
184	66	293
185	66	292
186	67	292
187	67	292
188	67	291
189	68	291
190	68	291
191	69	290
192	69	290
193	69	289
194	70	289
195	70	289
196	70	288
197	71	288
198	71	288
199	71	287
200	72	287
201	72	286
202	72	286
203	73	286
204	73	285
205	74	285
206	74	285
207	74	284
208	75	284
209	75	284
210	75	283
211	76	283
212	76	283
213	77	283
214	77	282
215	77	282
216	78	282
217	78	281
218	78	281
219	79	281
220	79	280
221	80	280
222	80	280
223	80	279
224	81	279
225	81	279
226	81	278
227	82	278
228	82	278
229	82	277
230	83	277
231	83	277
232	84	276
233	84	276
234	84	276
235	85	275
236	85	275
237	85	275
238	86	274
239	86	274
240	87	274
241	87	274
242	88	274
243	88	273
244	88	273
245	89	273
246	89	272
247	89	272
248	90	271
249	90	271
250	90	271
251	91	270
252	91	270
253	91	270
254	92	269
255	92	269
256	93	268
257	93	268
258	93	268
259	94	267
260	94	267
261	94	267
262	95	266
263	95	266
264	95	266
265	96	265
266	96	265
267	97	265
268	97	264
269	97	264
270	98	263
271	98	263
272	98	263
273	99	262
274	99	262
275	99	262
276	100	262
277	100	261
278	101	261
279	101	260
280	101	260
281	102	259
282	102	259
283	102	259
284	103	258
285	103	258
286	103	258
287	104	257
288	104	257
289	104	256
290	105	256
291	105	256
292	106	255
293	106	255
294	106	255
295	107	254
296	107	254
297	107	254
298	108	253
299	108	253
300	109	253
301	109	252
302	109	252
303	110	252
304	110	252
305	110	251
306	111	251
307	111	250
308	112	250
309	112	250
310	112	249
311	113	249
312	113	249
313	113	248
314	114	248
315	114	247
316	114	247
317	115	247
318	115	246
319	115	246
320	116	246
321	116	245
322	117	245
323	117	244
324	117	244
325	118	244
326	118	243
327	118	243
328	119	243
329	119	242
330	119	242
331	120	242
332	120	241
333	121	241
334	121	241
335	121	240
336	122	240
337	122	240
338	122	239
339	123	239
340	123	238
341	124	238
342	124	238
343	124	237
344	125	237
345	125	237
346	125	236
347	126	236
348	126	236
349	126	235
350	127	235
351	127	234
352	127	234
353	128	234
354	128	233
355	129	233
356	129	233
357	129	232
358	130	232
359	130	232
360	130	231
361	131	231
362	131	231
363	132	230
