distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,km_total,consume_liter_total,price_per_travel
28.0,5.0,26,21.5,12,0,0,0,0,28.0,1.4000000000000001,6.8999999999999995
12.0,4.2,30,21.5,13,0,0,0,0,40.0,0.504,5.795999999999999
11.2,5.5,38,21.5,15,0,0,0,0,51.2,0.616,7.59
12.9,3.9,36,21.5,14,0,0,0,0,64.10000000000001,0.5031,5.382
18.5,4.5,46,21.5,15,0,0,0,0,82.60000000000001,0.8325,6.209999999999999
8.3,6.4,50,21.5,10,0,0,0,0,90.9,0.5312,8.831999999999999
7.8,4.4,43,21.5,11,0,0,0,0,98.7,0.3432,6.072
12.3,5.0,40,21.5,6,0,0,0,0,111.0,0.6150000000000001,6.8999999999999995
4.9,6.4,26,21.5,4,0,0,0,0,115.9,0.31360000000000005,8.831999999999999
11.9,5.3,30,21.5,9,0,0,0,0,127.80000000000001,0.6307,7.313999999999999
12.4,5.6,42,21.5,4,0,0,0,0,140.20000000000002,0.6943999999999999,7.727999999999999
11.8,4.6,38,21.5,0,0,0,0,0,152.00000000000003,0.5428000000000001,6.347999999999999
12.3,5.9,59,21.5,10,0,0,0,0,164.30000000000004,0.7257000000000001,8.142
24.7,5.1,58,21.5,12,0,0,0,0,189.00000000000003,1.2596999999999998,7.037999999999999
12.4,4.7,46,21.5,11,0,0,0,0,201.40000000000003,0.5828,6.486
17.3,5.1,24,21.5,5,0,0,0,0,218.70000000000005,0.8823,7.037999999999999
33.4,5.6,36,21.5,3,0,0,0,0,252.10000000000005,1.8703999999999996,7.727999999999999
11.8,5.1,32,21.5,3,0,0,0,0,263.90000000000003,0.6018,7.037999999999999
25.9,4.9,39,21.5,8,0,0,0,0,289.8,1.2691,6.762
11.8,4.7,40,21.5,4,0,0,0,0,301.6,0.5546,6.486
25.3,5.5,32,21.5,3,0,0,0,0,326.90000000000003,1.3915,7.59
14.2,5.9,38,21.5,1,0,0,0,0,341.1,0.8378,8.142
17.9,5.7,37,21.5,1,0,0,0,0,359.0,1.0203,7.866
11.8,4.7,36,21.5,1,0,0,0,0,370.8,0.5546,6.486
12.3,5.9,62,21.5,6,0,0,0,0,383.1,0.7257000000000001,8.142
12.4,4.1,57,21.5,9,0,0,0,0,395.5,0.5084,5.6579999999999995
18.4,5.7,21,22.5,2,0,0,0,0,413.9,1.0488,7.866
18.4,5.8,28,21.5,3,0,0,0,0,432.29999999999995,1.0672,8.004
18.3,5.5,29,21.5,1,0,0,0,0,450.59999999999997,1.0065,7.59
18.4,5.7,35,21.5,4,0,0,0,0,468.99999999999994,1.0488,7.866
12.3,5.3,51,21.5,11,0,0,0,0,481.29999999999995,0.6519,7.313999999999999
11.8,5.0,29,21.5,10,0,0,0,0,493.09999999999997,0.5900000000000001,6.8999999999999995
12.3,5.6,58,21.5,8,0,0,0,0,505.4,0.6888,7.727999999999999
32.6,4.8,40,21.5,7,0,0,0,0,538.0,1.5648000000000002,6.624
19.0,4.3,36,21.5,7,0,0,0,0,557.0,0.817,5.933999999999999
12.1,5.7,36,21.5,8,0,0,0,0,569.1,0.6897,7.866
20.0,5.2,37,21.5,4,0,0,0,0,589.1,1.04,7.175999999999999
4.9,7.4,26,21.5,6,0,0,0,0,594.0,0.3626000000000001,10.212
11.8,4.8,23,21.5,9,0,0,0,0,605.8,0.5664,6.624
12.3,6.5,58,21.5,7,0,0,0,0,618.0999999999999,0.7995000000000001,8.969999999999999
12.4,4.0,55,21.5,7,0,1,1,0,630.4999999999999,0.49600000000000005,5.52
4.5,5.0,29,21.5,7,0,1,0,0,634.9999999999999,0.225,6.8999999999999995
11.7,4.6,37,21.5,6,0,0,0,0,646.6999999999999,0.5382,6.347999999999999
10.2,4.3,44,21.5,7,0,0,0,0,656.9,0.43859999999999993,5.933999999999999
5.4,3.3,32,21.5,7,1,0,0,0,662.3,0.17820000000000003,4.818
2.0,9.9,21,21.5,4,1,0,0,0,664.3,0.198,14.454
14.2,5.1,32,21.5,7,1,0,0,0,678.5,0.7242,7.446
16.0,4.9,25,21.5,8,1,0,0,0,694.5,0.784,7.154
11.8,4.9,25,21.5,11,1,0,0,0,706.3,0.5782,7.154
27.3,4.7,36,21.5,10,1,0,0,0,733.5999999999999,1.2831000000000001,6.862
11.8,5.1,29,21.5,5,1,0,1,0,745.3999999999999,0.6018,7.446
10.6,4.9,63,21.5,6,1,0,0,0,755.9999999999999,0.5194,7.154
11.6,4.2,61,21.5,7,1,0,0,0,767.5999999999999,0.4872,6.132
13.1,6.1,46,21.5,6,1,0,1,0,780.6999999999999,0.7990999999999999,8.905999999999999
6.1,6.4,28,21.5,8,1,0,0,0,786.8,0.39039999999999997,9.344
153.5,4.9,82,21.5,3,1,0,1,0,940.3,7.5215000000000005,7.154
11.8,4.9,24,21.5,7,1,0,0,0,952.0999999999999,0.5782,7.154
12.3,6.2,61,21.5,8,1,0,0,0,964.3999999999999,0.7626000000000001,9.052
12.4,4.2,57,21.5,8,1,0,0,0,976.7999999999998,0.5208,6.132
12.3,5.7,52,21.5,8,1,0,1,0,989.0999999999998,0.7011000000000001,8.322
2.9,7.9,18,21.5,9,1,1,1,0,991.9999999999998,0.2291,11.534
2.1,12.2,23,21.5,9,1,1,1,0,994.0999999999998,0.2562,17.811999999999998
9.8,5.8,24,21.5,6,1,0,0,0,1003.8999999999997,0.5684,8.468
6.8,5.3,26,21.5,6,1,0,0,0,1010.6999999999997,0.3604,7.7379999999999995
12.4,5.4,24,21.5,7,1,0,0,0,1023.0999999999997,0.6696000000000001,7.884
12.4,4.7,57,21.5,8,1,0,0,0,1035.4999999999998,0.5828,6.862
11.8,4.6,41,21.5,6,1,0,0,0,1047.2999999999997,0.5428000000000001,6.715999999999999
12.3,5.4,55,21.5,8,1,0,0,0,1059.5999999999997,0.6642000000000001,7.884
14.0,4.3,40,21.5,8,1,0,0,0,1073.5999999999997,0.602,6.278
11.8,4.5,37,21.5,4,1,1,0,0,1085.3999999999996,0.531,6.57
12.3,5.2,55,21.5,12,1,0,0,0,1097.6999999999996,0.6396000000000001,7.592
2.0,6.2,20,21.5,10,1,0,0,0,1099.6999999999996,0.124,9.052
13.9,5.1,29,21.5,6,1,0,0,0,1113.5999999999997,0.7089,7.446
9.7,3.9,42,21.5,8,1,0,0,0,1123.2999999999997,0.37829999999999997,5.694
11.6,5.0,25,21.5,6,1,0,0,0,1134.8999999999996,0.58,7.3
14.2,5.4,38,21.5,7,1,0,0,0,1149.0999999999997,0.7668,7.884
11.8,4.5,39,21.5,6,1,0,0,0,1160.8999999999996,0.531,6.57
24.8,5.1,50,21.5,9,1,0,0,0,1185.6999999999996,1.2648,7.446
12.4,4.7,56,21.5,7,1,0,0,0,1198.0999999999997,0.5828,6.862
34.8,4.0,28,20.0,4,1,0,0,0,1232.8999999999996,1.392,5.84
14.2,5.4,36,20.0,6,1,0,0,0,1247.0999999999997,0.7668,7.884
5.2,4.5,39,20.0,10,1,0,0,0,1252.2999999999997,0.23399999999999999,6.57
10.5,3.6,42,20.0,10,1,0,0,0,1262.7999999999997,0.37800000000000006,5.256
12.3,5.2,57,20.0,10,1,0,0,0,1275.0999999999997,0.6396000000000001,7.592
11.8,4.9,25,20.0,11,1,0,0,0,1286.8999999999996,0.5782,7.154
12.3,6.2,58,20.0,11,1,0,1,0,1299.1999999999996,0.7626000000000001,9.052
13.2,4.3,51,20.0,11,1,0,1,0,1312.3999999999996,0.5675999999999999,6.278
13.0,5.0,45,20.0,11,1,0,1,0,1325.3999999999996,0.65,7.3
12.9,5.1,32,20.0,11,1,0,0,0,1338.2999999999997,0.6578999999999999,7.446
13.9,5.6,22,20.0,8,1,0,0,0,1352.1999999999998,0.7784,8.176
11.8,4.3,37,20.0,6,1,0,0,0,1363.9999999999998,0.5074,6.278
12.2,5.8,60,20.0,11,1,0,0,0,1376.1999999999998,0.7075999999999999,8.468
12.5,4.0,51,20.0,13,1,0,0,0,1388.6999999999998,0.5,5.84
12.4,4.7,43,0.0,10,1,0,0,0,1401.1,0.5828,6.862
11.8,5.9,21,20.0,9,1,1,1,0,1412.8999999999999,0.6962,8.614
11.8,5.3,52,0.0,11,1,0,0,0,1424.6999999999998,0.6254000000000001,7.7379999999999995
12.5,4.2,57,20.0,11,1,0,0,0,1437.1999999999998,0.525,6.132
15.7,5.3,33,0.0,9,1,0,0,0,1452.8999999999999,0.8321,7.7379999999999995
12.9,5.7,35,0.0,9,1,0,0,0,1465.8,0.7353000000000001,8.322
