distance,consume,speed,temp_outside,gas_type,ac,rain,sun
28.0,5.0,26,12,E10,0,0,0
12.0,4.2,30,13,E10,0,0,0
11.2,5.5,38,15,E10,0,0,0
12.9,3.9,36,14,E10,0,0,0
18.5,4.5,46,15,E10,0,0,0
8.3,6.4,50,10,E10,0,0,0
7.8,4.4,43,11,E10,0,0,0
12.3,5.0,40,6,E10,0,0,0
4.9,6.4,26,4,E10,0,0,0
11.9,5.3,30,9,E10,0,0,0
12.4,5.6,42,4,E10,0,0,0
11.8,4.6,38,0,E10,0,0,0
12.3,5.9,59,10,E10,0,0,0
24.7,5.1,58,12,E10,0,0,0
12.4,4.7,46,11,E10,0,0,0
17.3,5.1,24,5,E10,0,0,0
33.4,5.6,36,3,E10,0,0,0
11.8,5.1,32,3,E10,0,0,0
25.9,4.9,39,8,E10,0,0,0
11.8,4.7,40,4,E10,0,0,0
25.3,5.5,32,3,E10,0,0,0
14.2,5.9,38,1,E10,0,0,0
17.9,5.7,37,1,E10,0,0,0
11.8,4.7,36,1,E10,0,0,0
12.3,5.9,62,6,E10,0,0,0
12.4,4.1,57,9,E10,0,0,0
18.4,5.7,21,2,E10,0,0,0
18.4,5.8,28,3,E10,0,0,0
18.3,5.5,29,1,E10,0,0,0
18.4,5.7,35,4,E10,0,0,0
12.3,5.3,51,11,E10,0,0,0
11.8,5.0,29,10,E10,0,0,0
12.3,5.6,58,8,E10,0,0,0
32.6,4.8,40,7,E10,0,0,0
19.0,4.3,36,7,E10,0,0,0
12.1,5.7,36,8,E10,0,0,0
20.0,5.2,37,4,E10,0,0,0
4.9,7.4,26,6,E10,0,0,0
11.8,4.8,23,9,E10,0,0,0
12.3,6.5,58,7,E10,0,0,0
12.4,4.0,55,7,E10,1,1,0
4.5,5.0,29,7,E10,1,0,0
11.7,4.6,37,6,E10,0,0,0
10.2,4.3,44,7,E10,0,0,0
5.4,3.3,32,7,SP98,0,0,0
2.0,9.9,21,4,SP98,0,0,0
14.2,5.1,32,7,SP98,0,0,0
16.0,4.9,25,8,SP98,0,0,0
11.8,4.9,25,11,SP98,0,0,0
27.3,4.7,36,10,SP98,0,0,0
11.8,5.1,29,5,SP98,0,1,0
10.6,4.9,63,6,SP98,0,0,0
11.6,4.2,61,7,SP98,0,0,0
13.1,6.1,46,6,SP98,0,1,0
6.1,6.4,28,8,SP98,0,0,0
153.5,4.9,82,3,SP98,0,1,0
11.8,4.9,24,7,SP98,0,0,0
12.3,6.2,61,8,SP98,0,0,0
12.4,4.2,57,8,SP98,0,0,0
12.3,5.7,52,8,SP98,0,1,0
2.9,7.9,18,9,SP98,1,1,0
2.1,12.2,23,9,SP98,1,1,0
9.8,5.8,24,6,SP98,0,0,0
6.8,5.3,26,6,SP98,0,0,0
12.4,5.4,24,7,SP98,0,0,0
12.4,4.7,57,8,SP98,0,0,0
11.8,4.6,41,6,SP98,0,0,0
12.3,5.4,55,8,SP98,0,0,0
14.0,4.3,40,8,SP98,0,0,0
11.8,4.5,37,4,SP98,1,0,0
12.3,5.2,55,12,SP98,0,0,0
2.0,6.2,20,10,SP98,0,0,0
13.9,5.1,29,6,SP98,0,0,0
9.7,3.9,42,8,SP98,0,0,0
11.6,5.0,25,6,SP98,0,0,0
14.2,5.4,38,7,SP98,0,0,0
11.8,4.5,39,6,SP98,0,0,0
24.8,5.1,50,9,SP98,0,0,0
12.4,4.7,56,7,SP98,0,0,0
34.8,4.0,28,4,SP98,0,0,0
14.2,5.4,36,6,SP98,0,0,0
5.2,4.5,39,10,SP98,0,0,0
10.5,3.6,42,10,SP98,0,0,0
12.3,5.2,57,10,SP98,0,0,0
11.8,4.9,25,11,SP98,0,0,0
12.3,6.2,58,11,SP98,0,1,0
13.2,4.3,51,11,SP98,0,1,0
13.0,5.0,45,11,SP98,0,1,0
12.9,5.1,32,11,SP98,0,0,0
13.9,5.6,22,8,SP98,0,0,0
11.8,4.3,37,6,SP98,0,0,0
12.2,5.8,60,11,SP98,0,0,0
12.5,4.0,51,13,SP98,0,0,0
12.4,4.7,43,10,SP98,0,0,0
11.8,5.9,21,9,SP98,1,1,0
11.8,5.3,52,11,SP98,0,0,0
