distance,consume,speed,gas_SP98,temp_inside,temp_outside,AC,rain,snow,sun,trip_price
28.0,5.0,26,0,21.5,12,0,0,0,0,6.9
12.0,4.2,30,0,21.5,13,0,0,0,0,5.7959997367858875
11.2,5.5,38,0,21.5,15,0,0,0,0,7.59
12.9,3.9,36,0,21.5,14,0,0,0,0,5.3820001316070565
18.5,4.5,46,0,21.5,15,0,0,0,0,6.209999999999999
8.3,6.4,50,0,21.5,10,0,0,0,0,8.832000131607055
7.8,4.4,43,0,21.5,11,0,0,0,0,6.072000131607054
12.3,5.0,40,0,21.5,6,0,0,0,0,6.9
4.9,6.4,26,0,21.5,4,0,0,0,0,8.832000131607055
11.9,5.3,30,0,21.5,9,0,0,0,0,7.314000263214111
12.4,5.6,42,0,21.5,4,0,0,0,0,7.727999868392943
11.8,4.6,38,0,21.5,0,0,0,0,0,6.347999868392943
12.3,5.9,59,0,21.5,10,0,0,0,0,8.142000131607054
24.7,5.1,58,0,21.5,12,0,0,0,0,7.037999868392944
12.4,4.7,46,0,21.5,11,0,0,0,0,6.485999736785887
17.3,5.1,24,0,21.5,5,0,0,0,0,7.037999868392944
33.4,5.6,36,0,21.5,3,0,0,0,0,7.727999868392943
11.8,5.1,32,0,21.5,3,0,0,0,0,7.037999868392944
25.9,4.9,39,0,21.5,8,0,0,0,0,6.762000131607056
11.8,4.7,40,0,21.5,4,0,0,0,0,6.485999736785887
25.3,5.5,32,0,21.5,3,0,0,0,0,7.59
14.2,5.9,38,0,21.5,1,0,0,0,0,8.142000131607054
17.9,5.7,37,0,21.5,1,0,0,0,0,7.865999736785888
11.8,4.7,36,0,21.5,1,0,0,0,0,6.485999736785887
12.3,5.9,62,0,21.5,6,0,0,0,0,8.142000131607054
12.4,4.1,57,0,21.5,9,0,0,0,0,5.657999868392944
18.4,5.7,21,0,22.5,2,0,0,0,0,7.865999736785888
18.4,5.8,28,0,21.5,3,0,0,0,0,8.004000263214111
18.3,5.5,29,0,21.5,1,0,0,0,0,7.59
18.4,5.7,35,0,21.5,4,0,0,0,0,7.865999736785888
12.3,5.3,51,0,21.5,11,0,0,0,0,7.314000263214111
11.8,5.0,29,0,21.5,10,0,0,0,0,6.9
12.3,5.6,58,0,21.5,8,0,0,0,0,7.727999868392943
32.6,4.8,40,0,21.5,7,0,0,0,0,6.6240002632141115
19.0,4.3,36,0,21.5,7,0,0,0,0,5.934000263214111
12.1,5.7,36,0,21.5,8,0,0,0,0,7.865999736785888
20.0,5.2,37,0,21.5,4,0,0,0,0,7.175999736785887
4.9,7.4,26,0,21.5,6,0,0,0,0,10.212000131607057
11.8,4.8,23,0,21.5,9,0,0,0,0,6.6240002632141115
12.3,6.5,58,0,21.5,7,0,0,0,0,8.969999999999997
12.4,4.0,55,0,21.5,7,1,1,0,0,5.52
4.5,5.0,29,0,21.5,7,1,0,0,0,6.9
11.7,4.6,37,0,21.5,6,0,0,0,0,6.347999868392943
10.2,4.3,44,0,21.5,7,0,0,0,0,5.934000263214111
5.4,3.3,32,1,21.5,7,0,0,0,0,4.8179999303817755
2.0,9.9,21,1,21.5,4,0,0,0,0,14.4539994430542
14.2,5.1,32,1,21.5,7,0,0,0,0,7.44599986076355
16.0,4.9,25,1,21.5,8,0,0,0,0,7.15400013923645
11.8,4.9,25,1,21.5,11,0,0,0,0,7.15400013923645
27.3,4.7,36,1,21.5,10,0,0,0,0,6.8619997215270985
11.8,5.1,29,1,21.5,5,0,1,0,0,7.44599986076355
10.6,4.9,63,1,21.5,6,0,0,0,0,7.15400013923645
11.6,4.2,61,1,21.5,7,0,0,0,0,6.1319997215271
13.1,6.1,46,1,21.5,6,0,1,0,0,8.905999860763549
6.1,6.4,28,1,21.5,8,0,0,0,0,9.34400013923645
153.5,4.9,82,1,21.5,3,0,1,0,0,7.15400013923645
11.8,4.9,24,1,21.5,7,0,0,0,0,7.15400013923645
12.3,6.2,61,1,21.5,8,0,0,0,0,9.0519997215271
12.4,4.2,57,1,21.5,8,0,0,0,0,6.1319997215271
12.3,5.7,52,1,21.5,8,0,1,0,0,8.3219997215271
2.9,7.9,18,1,21.5,9,1,1,0,0,11.53400013923645
2.1,12.2,23,1,21.5,9,1,0,0,0,17.811999721527098
9.8,5.8,24,1,21.5,6,0,0,0,0,8.4680002784729
6.8,5.3,26,1,21.5,6,0,0,0,0,7.7380002784729
12.4,5.4,24,1,21.5,7,0,0,0,0,7.88400013923645
12.4,4.7,57,1,21.5,8,0,0,0,0,6.8619997215270985
11.8,4.6,41,1,21.5,6,0,0,0,0,6.7159998607635485
12.3,5.4,55,1,21.5,8,0,0,0,0,7.88400013923645
14.0,4.3,40,1,21.5,8,0,0,0,0,6.2780002784729
11.8,4.5,37,1,21.5,4,1,0,0,0,6.57
12.3,5.2,55,1,21.5,12,0,0,0,0,7.5919997215271
2.0,6.2,20,1,21.5,10,0,0,0,0,9.0519997215271
13.9,5.1,29,1,21.5,6,0,0,0,0,7.44599986076355
9.7,3.9,42,1,21.5,8,0,0,0,0,5.69400013923645
11.6,5.0,25,1,21.5,6,0,0,0,0,7.3
14.2,5.4,38,1,21.5,7,0,0,0,0,7.88400013923645
11.8,4.5,39,1,21.5,6,0,0,0,0,6.57
24.8,5.1,50,1,21.5,9,0,0,0,0,7.44599986076355
12.4,4.7,56,1,21.5,7,0,0,0,0,6.8619997215270985
34.8,4.0,28,1,20.0,4,0,0,0,0,5.84
14.2,5.4,36,1,20.0,6,0,0,0,0,7.88400013923645
5.2,4.5,39,1,20.0,10,0,0,0,0,6.57
10.5,3.6,42,1,20.0,10,0,0,0,0,5.2559998607635485
12.3,5.2,57,1,20.0,10,0,0,0,0,7.5919997215271
11.8,4.9,25,1,20.0,11,0,0,0,0,7.15400013923645
12.3,6.2,58,1,20.0,11,0,1,0,0,9.0519997215271
13.2,4.3,51,1,20.0,11,0,1,0,0,6.2780002784729
13.0,5.0,45,1,20.0,11,0,1,0,0,7.3
12.9,5.1,32,1,20.0,11,0,0,0,0,7.44599986076355
13.9,5.6,22,1,20.0,8,0,0,0,0,8.17599986076355
11.8,4.3,37,1,20.0,6,0,0,0,0,6.2780002784729
12.2,5.8,60,1,20.0,11,0,0,0,0,8.4680002784729
12.5,4.0,51,1,20.0,13,0,0,0,0,5.84
12.4,4.7,43,1,21.929522,10,0,0,0,0,6.8619997215270985
11.8,5.9,21,1,20.0,9,1,1,0,0,8.61400013923645
11.8,5.3,52,1,21.929522,11,0,0,0,0,7.7380002784729
12.5,4.2,57,1,20.0,11,0,0,0,0,6.1319997215271
15.7,5.3,33,1,21.929522,9,0,0,0,0,7.7380002784729
12.9,5.7,35,1,21.929522,9,0,0,0,0,8.3219997215271
6.4,4.4,37,1,21.929522,10,0,0,0,0,6.42400013923645
5.3,4.1,34,1,21.929522,9,0,0,0,0,5.98599986076355
26.2,5.8,71,1,21.0,8,1,1,0,0,8.4680002784729
18.8,5.0,62,1,21.929522,9,0,1,0,0,7.3
4.9,6.9,25,1,21.0,12,0,1,0,0,10.07400013923645
12.4,5.4,18,1,21.0,11,1,1,0,0,7.88400013923645
22.9,5.3,45,1,20.5,7,0,0,0,0,7.7380002784729
162.7,5.5,75,1,23.0,1,0,0,0,0,8.03
4.9,6.5,26,1,21.0,1,0,0,0,0,9.49
11.8,4.7,36,1,21.0,4,0,0,0,0,6.8619997215270985
16.6,5.1,56,1,21.0,7,0,0,0,0,7.44599986076355
12.4,5.7,37,1,21.0,7,0,0,0,0,8.3219997215271
15.9,5.4,25,1,21.0,7,0,0,0,0,7.88400013923645
5.1,8.7,21,1,23.5,5,0,0,0,0,12.7019997215271
22.4,4.9,66,1,20.5,7,0,0,0,0,7.15400013923645
31.1,4.7,42,1,20.5,7,0,0,0,0,6.8619997215270985
4.9,6.3,27,1,20.5,3,0,0,0,0,9.1980002784729
