,distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,gas_type_E10,gas_type_SP98
47,16.0,4.9,25,21.5,8,0,0,0,0,1
94,11.8,5.9,21,20.0,9,1,1,0,0,1
212,13.4,5.5,31,20.0,9,0,0,0,0,1
360,6.0,4.8,27,22.0,17,0,0,0,0,1
185,51.6,5.0,73,22.5,12,0,0,0,1,0
257,12.4,4.7,55,22.5,14,0,0,1,1,0
52,11.6,4.2,61,21.5,7,0,0,0,0,1
263,4.1,5.4,24,22.5,13,0,0,0,1,0
180,12.3,4.9,50,22.5,0,0,0,0,1,0
311,10.8,4.7,48,22.0,17,0,0,1,0,1
231,11.8,5.0,43,22.5,1,0,0,0,0,1
35,12.1,5.7,36,21.5,8,0,0,0,1,0
158,21.6,5.3,44,21.5,9,0,1,0,1,0
382,13.6,3.7,33,24.5,28,0,0,1,0,1
235,12.4,4.8,38,22.5,1,0,0,0,1,0
239,16.9,4.5,48,22.5,9,0,0,1,1,0
128,17.3,5.6,37,21.5,1,0,0,0,0,1
316,32.0,4.9,53,22.0,15,0,0,0,0,1
105,22.9,5.3,45,20.5,7,0,0,0,0,1
117,22.9,6.0,42,23.0,4,0,1,0,0,1
289,7.4,4.1,25,22.0,18,0,0,1,0,1
195,11.8,4.5,41,21.5,13,0,0,0,0,1
342,15.4,3.8,47,22.0,24,0,0,0,1,0
324,22.1,3.9,29,22.0,26,0,0,0,0,1
159,39.4,5.3,60,21.5,9,0,1,0,1,0
328,15.4,5.1,21,22.0,24,0,0,0,1,0
152,22.9,4.6,61,21.5,7,0,1,0,1,0
8,4.9,6.4,26,21.5,4,0,0,0,1,0
192,12.1,4.2,43,22.0,4,0,0,0,0,1
202,13.6,4.5,44,19.0,18,0,0,0,0,1
178,58.7,4.8,75,21.0,0,0,0,0,1,0
369,15.4,4.5,42,22.0,30,0,0,0,0,1
348,16.6,4.6,50,22.0,25,0,0,0,1,0
349,18.3,4.3,46,22.0,16,0,0,0,0,1
357,6.1,5.0,35,24.5,18,0,0,0,0,1
352,16.3,4.0,35,22.0,23,0,0,0,0,1
186,38.6,4.6,44,22.5,10,0,0,0,1,0
49,27.3,4.7,36,21.5,10,0,0,0,0,1
65,12.4,4.7,57,21.5,8,0,0,0,0,1
57,12.3,6.2,61,21.5,8,0,0,0,0,1
378,16.2,4.4,39,24.5,17,1,0,0,0,1
198,2.9,7.4,24,21.5,14,0,0,0,0,1
205,7.9,4.7,31,22.5,12,1,0,0,0,1
183,31.8,4.7,59,22.5,3,0,0,0,1,0
301,19.0,5.0,35,22.0,15,1,0,1,0,1
247,12.3,5.0,42,22.5,10,0,0,0,1,0
51,10.6,4.9,63,21.5,6,0,0,0,0,1
232,27.1,5.0,69,22.5,8,0,0,0,0,1
29,18.4,5.7,35,21.5,4,0,0,0,1,0
323,16.5,4.0,48,22.0,15,0,0,0,0,1
153,17.3,5.0,61,21.5,6,1,1,0,1,0
43,10.2,4.3,44,21.5,7,0,0,0,1,0
219,19.0,4.4,58,22.5,17,0,0,1,0,1
179,16.2,5.2,29,21.0,0,0,0,0,1,0
11,11.8,4.6,38,21.5,0,0,0,0,1,0
302,16.6,4.4,46,22.0,5,1,0,0,0,1
303,29.9,4.5,32,22.0,18,1,0,0,0,1
322,25.9,4.1,43,22.0,24,0,0,0,0,1
214,12.9,4.5,42,20.0,13,0,0,0,0,1
24,12.3,5.9,62,21.5,6,0,0,0,1,0
161,26.6,4.8,38,21.5,7,0,0,0,1,0
216,15.7,4.1,32,22.5,13,0,0,0,0,1
177,14.1,5.3,47,21.0,-3,0,0,0,1,0
275,16.0,4.1,40,22.0,10,0,0,0,0,1
87,13.0,5.0,45,20.0,11,0,1,0,0,1
196,38.5,4.8,63,21.5,14,0,0,0,0,1
386,15.4,4.6,42,25.0,31,1,0,0,0,1
7,12.3,5.0,40,21.5,6,0,0,0,1,0
319,216.1,5.3,90,22.0,21,0,0,1,0,1
148,35.9,4.7,45,21.5,12,0,0,0,1,0
174,26.2,4.9,42,21.5,6,0,0,0,1,0
166,16.4,4.8,49,21.5,5,0,0,0,1,0
290,17.3,4.1,22,22.0,25,0,0,1,0,1
217,16.2,4.4,26,22.5,11,0,0,0,0,1
377,16.6,4.1,49,22.0,26,0,0,1,0,1
347,17.2,3.9,35,22.0,16,0,0,0,1,0
181,12.3,7.1,52,22.5,0,1,1,0,1,0
365,15.4,4.5,52,22.0,26,0,0,0,0,1
68,14.0,4.3,40,21.5,8,0,0,0,0,1
278,16.0,4.5,41,22.0,11,0,0,0,0,1
188,81.2,4.4,69,22.0,13,0,0,0,1,0
70,12.3,5.2,55,21.5,12,0,0,0,0,1
40,12.4,4.0,55,21.5,7,1,1,0,1,0
223,24.8,4.0,56,22.5,11,0,0,0,0,1
350,16.1,4.8,36,22.0,18,0,1,0,0,1
123,14.2,5.6,24,23.0,8,0,0,0,0,1
74,11.6,5.0,25,21.5,6,0,0,0,0,1
333,100.9,4.7,87,23.5,22,0,0,0,1,0
4,18.5,4.5,46,21.5,15,0,0,0,1,0
272,101.9,5.2,75,22.0,18,0,0,0,1,0
256,7.4,5.0,31,22.5,12,0,0,0,1,0
237,14.3,4.8,36,22.5,10,0,0,0,1,0
146,20.8,4.5,45,21.5,10,0,0,0,1,0
285,48.6,4.3,44,22.0,12,0,0,0,0,1
172,35.8,4.4,51,21.5,6,0,0,0,1,0
373,15.3,6.6,16,24.0,27,1,0,0,0,1
88,12.9,5.1,32,20.0,11,0,0,0,0,1
222,12.3,5.2,55,22.5,10,0,0,0,0,1
356,17.0,4.2,48,22.0,16,0,0,0,0,1
252,24.9,4.5,53,22.5,14,0,0,0,1,0
23,11.8,4.7,36,21.5,1,0,0,0,1,0
86,13.2,4.3,51,20.0,11,0,1,0,0,1
137,11.8,4.5,38,21.5,5,0,1,0,0,1
334,129.7,4.6,58,24.0,21,0,0,0,1,0
364,16.0,3.9,35,22.0,18,0,0,0,0,1
194,39.0,4.1,61,22.0,16,0,0,0,0,1
13,24.7,5.1,58,21.5,12,0,0,0,1,0
10,12.4,5.6,42,21.5,4,0,0,0,1,0
0,28.0,5.0,26,21.5,12,0,0,0,1,0
20,25.3,5.5,32,21.5,3,0,0,0,1,0
210,1.3,11.5,21,20.0,10,0,0,0,0,1
191,43.7,4.7,44,22.0,9,0,1,0,0,1
131,5.1,6.4,39,21.5,4,0,0,0,0,1
299,18.7,4.2,65,25.0,18,1,0,1,0,1
271,4.2,5.6,32,22.0,18,0,0,0,1,0
298,16.3,4.5,58,22.0,16,0,0,0,0,1
341,21.0,3.8,37,22.0,21,0,0,0,1,0
109,16.6,5.1,56,21.0,7,0,0,0,0,1
207,4.9,6.3,26,20.0,10,0,0,0,0,1
71,2.0,6.2,20,21.5,10,0,0,0,0,1
336,15.4,4.2,50,21.5,21,0,0,0,1,0
91,12.2,5.8,60,20.0,11,0,0,0,0,1
126,24.7,5.5,56,25.0,1,0,0,0,0,1
220,29.0,4.0,27,22.5,12,0,0,0,0,1
380,8.3,5.0,52,24.5,27,0,0,0,0,1
326,15.4,4.5,43,22.0,24,0,0,0,1,0
379,16.7,3.8,44,24.5,23,0,0,1,0,1
9,11.9,5.3,30,21.5,9,0,0,0,1,0
224,12.9,5.1,34,22.5,8,0,1,0,0,1
142,12.4,4.3,49,21.5,17,0,0,0,1,0
75,14.2,5.4,38,21.5,7,0,0,0,0,1
384,16.1,4.3,38,25.0,31,1,0,0,0,1
108,11.8,4.7,36,21.0,4,0,0,0,0,1
149,36.9,4.8,52,21.5,5,0,0,0,1,0
254,2.0,8.1,20,22.5,14,0,0,0,1,0
230,13.0,6.2,32,22.5,4,0,0,0,0,1
175,40.6,4.4,44,21.0,3,0,0,0,1,0
280,16.0,3.9,42,22.0,8,0,0,0,0,1
101,26.2,5.8,71,21.0,8,1,1,0,0,1
18,25.9,4.9,39,21.5,8,0,0,0,1,0
300,36.5,3.9,54,23.0,18,0,0,1,0,1
165,6.1,6.3,26,21.5,5,0,0,0,1,0
221,12.1,5.0,32,22.5,9,0,0,0,0,1
42,11.7,4.6,37,21.5,6,0,0,0,1,0
90,11.8,4.3,37,20.0,6,0,0,0,0,1
1,12.0,4.2,30,21.5,13,0,0,0,1,0
327,16.5,3.9,43,22.0,17,0,0,0,1,0
283,32.1,4.5,50,22.0,16,0,0,0,0,1
187,12.3,4.8,41,22.5,7,0,0,0,1,0
171,44.4,4.8,38,21.5,8,0,0,0,1,0
53,13.1,6.1,46,21.5,6,0,1,0,0,1
383,16.0,3.7,39,24.5,18,0,0,0,0,1
361,16.0,4.1,45,22.0,15,0,0,0,0,1
63,6.8,5.3,26,21.5,6,0,0,0,0,1
34,19.0,4.3,36,21.5,7,0,0,0,1,0
335,16.6,3.8,43,21.5,16,0,0,0,1,0
31,11.8,5.0,29,21.5,10,0,0,0,1,0
368,16.0,4.0,43,22.0,21,1,0,0,0,1
215,12.1,4.4,33,22.5,5,0,0,0,0,1
243,12.3,5.8,54,22.5,10,0,1,0,1,0
294,8.3,4.9,26,22.0,23,0,0,0,0,1
14,12.4,4.7,46,21.5,11,0,0,0,1,0
54,6.1,6.4,28,21.5,8,0,0,0,0,1
276,16.1,4.5,32,22.0,19,0,0,0,0,1
282,16.0,3.8,40,22.0,8,0,0,0,0,1
332,4.8,4.7,26,25.0,18,0,0,0,1,0
307,11.9,5.3,34,22.0,13,0,0,0,0,1
340,16.0,4.0,43,22.0,16,0,0,0,1,0
110,12.4,5.7,37,21.0,7,0,0,0,0,1
259,14.0,5.0,41,22.5,8,0,0,0,1,0
136,23.5,6.0,25,21.5,5,0,1,0,0,1
329,18.4,4.2,59,22.0,24,0,0,0,1,0
55,153.5,4.9,82,21.5,3,0,1,0,0,1
244,13.0,5.9,32,22.5,10,0,0,0,1,0
84,11.8,4.9,25,20.0,11,0,0,0,0,1
107,4.9,6.5,26,21.0,1,0,0,0,0,1
