,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas,km_absolute,Consume_ac,consume_ac
0,28.0,5.0,26,21.5,12.0,0,E10,0,0,0,45.0,E10,28.0,5.0,5.0
1,12.0,4.2,30,21.5,13.0,0,E10,0,0,0,0.0,0,40.0,9.2,9.2
2,11.2,5.5,38,21.5,15.0,0,E10,0,0,0,0.0,0,51.2,14.7,14.7
3,12.9,3.9,36,21.5,14.0,0,E10,0,0,0,0.0,0,64.10000000000001,18.599999999999998,18.599999999999998
4,18.5,4.5,46,21.5,15.0,0,E10,0,0,0,0.0,0,82.60000000000001,23.099999999999998,23.099999999999998
5,8.3,6.4,50,21.5,10.0,0,E10,0,0,0,0.0,0,90.9,29.5,29.5
6,7.8,4.4,43,21.5,11.0,0,E10,0,0,0,0.0,0,98.7,33.9,33.9
7,12.3,5.0,40,21.5,6.0,0,E10,0,0,0,0.0,0,111.0,38.9,38.9
8,4.9,6.4,26,21.5,4.0,0,E10,0,0,0,0.0,0,115.9,45.3,45.3
9,11.9,5.3,30,21.5,9.0,0,E10,0,0,0,0.0,0,127.80000000000001,50.599999999999994,50.599999999999994
10,12.4,5.6,42,21.5,4.0,0,E10,0,0,0,0.0,0,140.20000000000002,56.199999999999996,56.199999999999996
11,11.8,4.6,38,21.5,0.0,0,E10,0,0,0,0.0,0,152.00000000000003,60.8,60.8
12,12.3,5.9,59,21.5,10.0,0,E10,0,0,0,0.0,0,164.30000000000004,66.7,66.7
13,24.7,5.1,58,21.5,12.0,0,E10,0,0,0,0.0,0,189.00000000000003,71.8,71.8
14,12.4,4.7,46,21.5,11.0,0,E10,0,0,0,0.0,0,201.40000000000003,76.5,76.5
15,17.3,5.1,24,21.5,5.0,0,E10,0,0,0,0.0,0,218.70000000000005,81.6,81.6
16,33.4,5.6,36,21.5,3.0,0,E10,0,0,0,0.0,0,252.10000000000005,87.19999999999999,87.19999999999999
17,11.8,5.1,32,21.5,3.0,0,E10,0,0,0,0.0,0,263.90000000000003,92.29999999999998,92.29999999999998
18,25.9,4.9,39,21.5,8.0,0,E10,0,0,0,0.0,0,289.8,97.19999999999999,97.19999999999999
19,11.8,4.7,40,21.5,4.0,0,E10,0,0,0,0.0,0,301.6,101.89999999999999,101.89999999999999
20,25.3,5.5,32,21.5,3.0,0,E10,0,0,0,0.0,0,326.90000000000003,107.39999999999999,107.39999999999999
21,14.2,5.9,38,21.5,1.0,0,E10,0,0,0,0.0,0,341.1,113.3,113.3
22,17.9,5.7,37,21.5,1.0,0,E10,0,0,0,0.0,0,359.0,119.0,119.0
23,11.8,4.7,36,21.5,1.0,0,E10,0,0,0,0.0,0,370.8,123.7,123.7
24,12.3,5.9,62,21.5,6.0,0,E10,0,0,0,0.0,0,383.1,129.6,129.6
25,12.4,4.1,57,21.5,9.0,0,E10,0,0,0,0.0,0,395.5,133.7,133.7
26,18.4,5.7,21,22.5,2.0,0,E10,0,0,0,0.0,0,413.9,139.39999999999998,139.39999999999998
27,18.4,5.8,28,21.5,3.0,0,E10,0,0,0,0.0,0,432.29999999999995,145.2,145.2
28,18.3,5.5,29,21.5,1.0,0,E10,0,0,0,0.0,0,450.59999999999997,150.7,150.7
29,18.4,5.7,35,21.5,4.0,0,E10,0,0,0,0.0,0,468.99999999999994,156.39999999999998,156.39999999999998
30,12.3,5.3,51,21.5,11.0,0,E10,0,0,0,0.0,0,481.29999999999995,161.7,161.7
31,11.8,5.0,29,21.5,10.0,0,E10,0,0,0,0.0,0,493.09999999999997,166.7,166.7
32,12.3,5.6,58,21.5,8.0,0,E10,0,0,0,0.0,0,505.4,172.29999999999998,172.29999999999998
33,32.6,4.8,40,21.5,7.0,0,E10,0,0,0,0.0,0,538.0,177.1,177.1
34,19.0,4.3,36,21.5,7.0,0,E10,0,0,0,0.0,0,557.0,181.4,181.4
35,12.1,5.7,36,21.5,8.0,0,E10,0,0,0,0.0,0,569.1,187.1,187.1
36,20.0,5.2,37,21.5,4.0,0,E10,0,0,0,0.0,0,589.1,192.29999999999998,192.29999999999998
37,4.9,7.4,26,21.5,6.0,0,E10,0,0,0,0.0,0,594.0,199.7,199.7
38,11.8,4.8,23,21.5,9.0,0,E10,0,0,0,0.0,0,605.8,204.5,204.5
39,12.3,6.5,58,21.5,7.0,0,E10,0,0,0,0.0,0,618.0999999999999,211.0,211.0
40,12.4,4.0,55,21.5,7.0,AC rain,E10,1,1,0,0.0,0,630.4999999999999,215.0,215.0
41,4.5,5.0,29,21.5,7.0,AC,E10,1,0,0,0.0,0,634.9999999999999,220.0,220.0
42,11.7,4.6,37,21.5,6.0,0,E10,0,0,0,0.0,0,646.6999999999999,224.6,224.6
43,10.2,4.3,44,21.5,7.0,0,E10,0,0,0,0.0,0,656.9,228.9,228.9
44,5.4,3.3,32,21.5,7.0,0,SP98,0,0,0,37.6,SP98,662.3,232.20000000000002,232.20000000000002
45,2.0,9.9,21,21.5,4.0,0,SP98,0,0,0,0.0,0,664.3,242.10000000000002,242.10000000000002
46,14.2,5.1,32,21.5,7.0,0,SP98,0,0,0,0.0,0,678.5,247.20000000000002,247.20000000000002
47,16.0,4.9,25,21.5,8.0,0,SP98,0,0,0,0.0,0,694.5,252.10000000000002,252.10000000000002
48,11.8,4.9,25,21.5,11.0,0,SP98,0,0,0,0.0,0,706.3,257.0,257.0
49,27.3,4.7,36,21.5,10.0,0,SP98,0,0,0,0.0,0,733.5999999999999,261.7,261.7
50,11.8,5.1,29,21.5,5.0,rain,SP98,0,1,0,0.0,0,745.3999999999999,266.8,266.8
51,10.6,4.9,63,21.5,6.0,0,SP98,0,0,0,0.0,0,755.9999999999999,271.7,271.7
52,11.6,4.2,61,21.5,7.0,0,SP98,0,0,0,0.0,0,767.5999999999999,275.9,275.9
53,13.1,6.1,46,21.5,6.0,rain,SP98,0,1,0,0.0,0,780.6999999999999,282.0,282.0
54,6.1,6.4,28,21.5,8.0,0,SP98,0,0,0,0.0,0,786.8,288.4,288.4
55,153.5,4.9,82,21.5,3.0,rain,SP98,0,1,0,0.0,0,940.3,293.29999999999995,293.29999999999995
56,11.8,4.9,24,21.5,7.0,0,SP98,0,0,0,0.0,0,952.0999999999999,298.19999999999993,298.19999999999993
