distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,refill liters,refill gas,snow,time
28.0,5.0,26,21.5,12,E10,0,0,0,45.0,E10,0,1.0769230769230769
12.0,4.2,30,21.5,13,E10,0,0,0,0.0,No,0,0.4
11.2,5.5,38,21.5,15,E10,0,0,0,0.0,No,0,0.29473684210526313
12.9,3.9,36,21.5,14,E10,0,0,0,0.0,No,0,0.35833333333333334
18.5,4.5,46,21.5,15,E10,0,0,0,0.0,No,0,0.40217391304347827
8.3,6.4,50,21.5,10,E10,0,0,0,0.0,No,0,0.166
7.8,4.4,43,21.5,11,E10,0,0,0,0.0,No,0,0.18139534883720929
12.3,5.0,40,21.5,6,E10,0,0,0,0.0,No,0,0.3075
4.9,6.4,26,21.5,4,E10,0,0,0,0.0,No,0,0.18846153846153849
11.9,5.3,30,21.5,9,E10,0,0,0,0.0,No,0,0.39666666666666667
12.4,5.6,42,21.5,4,E10,0,0,0,0.0,No,0,0.29523809523809524
11.8,4.6,38,21.5,0,E10,0,0,0,0.0,No,0,0.3105263157894737
12.3,5.9,59,21.5,10,E10,0,0,0,0.0,No,0,0.20847457627118646
24.7,5.1,58,21.5,12,E10,0,0,0,0.0,No,0,0.4258620689655172
12.4,4.7,46,21.5,11,E10,0,0,0,0.0,No,0,0.26956521739130435
17.3,5.1,24,21.5,5,E10,0,0,0,0.0,No,0,0.7208333333333333
33.4,5.6,36,21.5,3,E10,0,0,0,0.0,No,0,0.9277777777777777
11.8,5.1,32,21.5,3,E10,0,0,0,0.0,No,0,0.36875
25.9,4.9,39,21.5,8,E10,0,0,0,0.0,No,0,0.6641025641025641
11.8,4.7,40,21.5,4,E10,0,0,0,0.0,No,0,0.29500000000000004
25.3,5.5,32,21.5,3,E10,0,0,0,0.0,No,0,0.790625
14.2,5.9,38,21.5,1,E10,0,0,0,0.0,No,0,0.3736842105263158
17.9,5.7,37,21.5,1,E10,0,0,0,0.0,No,0,0.4837837837837837
11.8,4.7,36,21.5,1,E10,0,0,0,0.0,No,0,0.3277777777777778
12.3,5.9,62,21.5,6,E10,0,0,0,0.0,No,0,0.19838709677419356
12.4,4.1,57,21.5,9,E10,0,0,0,0.0,No,0,0.21754385964912282
18.4,5.7,21,22.5,2,E10,0,0,0,0.0,No,0,0.8761904761904761
18.4,5.8,28,21.5,3,E10,0,0,0,0.0,No,0,0.6571428571428571
18.3,5.5,29,21.5,1,E10,0,0,0,0.0,No,0,0.6310344827586207
18.4,5.7,35,21.5,4,E10,0,0,0,0.0,No,0,0.5257142857142857
12.3,5.3,51,21.5,11,E10,0,0,0,0.0,No,0,0.2411764705882353
11.8,5.0,29,21.5,10,E10,0,0,0,0.0,No,0,0.40689655172413797
