"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"15.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"14.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"11.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"10.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"09.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"08.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"07.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"04.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"03.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"02.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"01.03.2022","2,160","2,160","2,160","2,160","-","0,00%"
"28.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"25.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"24.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"23.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"22.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"18.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"17.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"16.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"15.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"14.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"11.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"10.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"09.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"08.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"07.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"04.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"03.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"02.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
"01.02.2022","2,160","2,160","2,160","2,160","-","0,00%"
