"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"17.03.2022","3,1079","3,0066","3,1113","2,9788","-","4,03%"
"16.03.2022","2,9875","2,9439","3,0948","2,9439","32,39K","-0,35%"
"15.03.2022","2,9981","3,1496","3,1614","2,8861","41,06K","-5,39%"
"14.03.2022","3,1689","3,3120","3,3250","3,0971","31,36K","-3,09%"
"13.03.2022","3,2700","3,3093","3,3101","3,2513","-","-1,27%"
"11.03.2022","3,3121","3,1568","3,3186","3,0874","51,27K","4,92%"
"10.03.2022","3,1567","3,3218","3,4269","3,1341","54,71K","-4,16%"
"09.03.2022","3,2938","3,7320","3,7600","3,1653","67,62K","-10,56%"
"08.03.2022","3,6826","3,6124","3,8329","3,5248","79,96K","3,09%"
"07.03.2022","3,5721","3,6080","3,8904","3,5357","74,17K","-6,29%"
"06.03.2022","3,8118","3,8133","3,8209","3,7512","-","7,56%"
"04.03.2022","3,5440","3,3039","3,5504","3,2511","82,36K","7,90%"
"03.03.2022","3,2844","3,3536","3,5221","3,2410","57,07K","-0,72%"
"02.03.2022","3,3083","3,1469","3,3612","3,1270","98,11K","7,11%"
"01.03.2022","3,0887","2,9455","3,1610","2,9432","92,80K","10,43%"
"28.02.2022","2,7970","2,7317","2,8359","2,7317","7,33K","-6,34%"
"27.02.2022","2,9862","3,0190","3,0278","2,9714","-","9,49%"
"25.02.2022","2,7273","2,7728","2,8396","2,7099","24,98K","-1,58%"
"24.02.2022","2,7710","2,7315","2,9149","2,7262","35,15K","1,68%"
"23.02.2022","2,7253","2,7143","2,7744","2,6942","38,70K","0,53%"
"22.02.2022","2,7108","2,6915","2,8020","2,6500","39,56K","-5,96%"
"21.02.2022","2,8826","2,8505","2,9003","2,7934","-","1,13%"
"20.02.2022","2,8505","2,8466","2,8518","2,8464","-","6,78%"
"18.02.2022","2,6696","2,6502","2,6882","2,5865","40,23K","0,79%"
"17.02.2022","2,6486","2,6082","2,6710","2,5976","46,07K","-1,06%"
"16.02.2022","2,6771","2,6762","2,7253","2,5895","50,91K","0,30%"
"15.02.2022","2,6691","2,7675","2,7735","2,6470","58,48K","-3,97%"
"14.02.2022","2,7794","2,7434","2,7870","2,7017","60,92K","0,93%"
"13.02.2022","2,7538","2,7456","2,7557","2,7423","-","0,56%"
"11.02.2022","2,7386","2,6606","2,7638","2,6391","103,79K","2,75%"
"10.02.2022","2,6654","2,6554","2,7069","2,6422","89,69K","0,45%"
"09.02.2022","2,6534","2,6462","2,6726","2,6113","90,88K","1,08%"
"08.02.2022","2,6251","2,6917","2,6917","2,5957","93,35K","-2,24%"
"07.02.2022","2,6853","2,6750","2,7200","2,6697","81,92K","-0,29%"
"06.02.2022","2,6930","2,6841","2,6959","2,6793","-","0,54%"
"04.02.2022","2,6785","2,6380","2,7024","2,6362","70,30K","1,35%"
"03.02.2022","2,6427","2,6036","2,6475","2,5731","73,29K","1,37%"
"02.02.2022","2,6070","2,5746","2,6173","2,5646","72,69K","1,23%"
"01.02.2022","2,5752","2,5570","2,5882","2,5112","78,80K","0,82%"
"31.01.2022","2,5543","2,5599","2,5741","2,5388","3,35K","-0,18%"
"30.01.2022","2,5590","2,5577","2,5610","2,5552","-","0,66%"
"28.01.2022","2,5423","2,5608","2,5798","2,5244","22,43K","0,84%"
"27.01.2022","2,5210","2,5223","2,5700","2,5100","23,55K","-0,08%"
"26.01.2022","2,5229","2,4552","2,5347","2,4533","35,51K","2,58%"
"25.01.2022","2,4595","2,4215","2,4650","2,4023","30,34K","2,56%"
"24.01.2022","2,3980","2,4455","2,4657","2,3699","34,09K","-2,71%"
"23.01.2022","2,4649","2,4451","2,4649","2,4426","-","0,92%"
"21.01.2022","2,4424","2,4402","2,4575","2,3949","33,39K","-0,80%"
"20.01.2022","2,4622","2,4416","2,4842","2,4256","29,56K","0,21%"
"19.01.2022","2,4570","2,4592","2,4786","2,4318","34,79K","1,04%"
"18.01.2022","2,4318","2,4247","2,4692","2,4075","57,88K","-0,02%"
"17.01.2022","2,4322","2,4289","2,4348","2,4078","-","0,13%"
"16.01.2022","2,4291","2,4250","2,4333","2,4250","-","0,42%"
"14.01.2022","2,4190","2,3756","2,4296","2,3735","55,81K","1,46%"
"13.01.2022","2,3841","2,3898","2,4034","2,3667","58,44K","-0,28%"
"12.01.2022","2,3908","2,3477","2,4013","2,3430","63,70K","1,42%"
"11.01.2022","2,3574","2,2805","2,3629","2,2767","67,48K","3,60%"
"10.01.2022","2,2754","2,3039","2,3180","2,2679","61,55K","-0,90%"
"09.01.2022","2,2960","2,3020","2,3070","2,2910","-","-0,13%"
"07.01.2022","2,2989","2,3075","2,3338","2,2932","56,93K","-0,23%"
"06.01.2022","2,3043","2,2709","2,3280","2,2564","60,78K","0,53%"
"05.01.2022","2,2921","2,2800","2,3162","2,2611","60,08K","0,69%"
"04.01.2022","2,2763","2,2560","2,2969","2,2495","72,88K","0,88%"
"03.01.2022","2,2565","2,2206","2,2719","2,2104","50,47K","0,84%"
"02.01.2022","2,2377","2,2317","2,2407","2,2308","-","0,41%"
"31.12.2021","2,2285","2,2755","2,2862","2,2215","1,26K","-2,97%"
"30.12.2021","2,2968","2,2711","2,3010","2,2538","14,36K","1,10%"
"29.12.2021","2,2717","2,2476","2,2878","2,2328","18,75K","1,09%"
"28.12.2021","2,2471","2,2376","2,2680","2,2247","24,54K","0,59%"
"27.12.2021","2,2339","2,2060","2,2574","2,1791","20,86K","1,55%"
"26.12.2021","2,1997","2,1933","2,2019","2,1933","-","-0,29%"
"23.12.2021","2,2061","2,1807","2,2176","2,1570","36,23K","1,76%"
"22.12.2021","2,1680","2,1543","2,1810","2,1341","35,32K","0,73%"
"21.12.2021","2,1522","2,1051","2,1623","2,0833","29,55K","2,98%"
"20.12.2021","2,0900","2,1271","2,1278","2,0245","43,22K","-0,40%"
"19.12.2021","2,0983","2,1016","2,1035","2,0897","-","-1,10%"
"17.12.2021","2,1217","2,1688","2,1688","2,0999","53,45K","-2,58%"
"16.12.2021","2,1778","2,1409","2,1867","2,1369","51,50K","2,36%"
"15.12.2021","2,1275","2,1054","2,1468","2,0803","57,24K","0,79%"
"14.12.2021","2,1108","2,1226","2,1412","2,0731","56,92K","-0,27%"
"13.12.2021","2,1165","2,1455","2,1752","2,1144","63,24K","-1,82%"
"12.12.2021","2,1557","2,1483","2,1564","2,1475","-","0,87%"
