,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,external_temp
0,28.0,5.0,26,21.5,12,,E10,0,0,0,45.0,COLD
1,12.0,4.2,30,21.5,13,,E10,0,0,0,,COLD
2,11.2,5.5,38,21.5,15,,E10,0,0,0,,COLD
3,12.9,3.9,36,21.5,14,,E10,0,0,0,,COLD
4,18.5,4.5,46,21.5,15,,E10,0,0,0,,COLD
5,8.3,6.4,50,21.5,10,,E10,0,0,0,,COLD
6,7.8,4.4,43,21.5,11,,E10,0,0,0,,COLD
7,12.3,5.0,40,21.5,6,,E10,0,0,0,,COLD
8,4.9,6.4,26,21.5,4,,E10,0,0,0,,COLD
9,11.9,5.3,30,21.5,9,,E10,0,0,0,,COLD
10,12.4,5.6,42,21.5,4,,E10,0,0,0,,COLD
11,11.8,4.6,38,21.5,0,,E10,0,0,0,,COLD
12,12.3,5.9,59,21.5,10,,E10,0,0,0,,COLD
13,24.7,5.1,58,21.5,12,,E10,0,0,0,,COLD
14,12.4,4.7,46,21.5,11,,E10,0,0,0,,COLD
15,17.3,5.1,24,21.5,5,,E10,0,0,0,,COLD
16,33.4,5.6,36,21.5,3,,E10,0,0,0,,COLD
17,11.8,5.1,32,21.5,3,,E10,0,0,0,,COLD
18,25.9,4.9,39,21.5,8,,E10,0,0,0,,COLD
19,11.8,4.7,40,21.5,4,,E10,0,0,0,,COLD
20,25.3,5.5,32,21.5,3,,E10,0,0,0,,COLD
21,14.2,5.9,38,21.5,1,,E10,0,0,0,,COLD
22,17.9,5.7,37,21.5,1,,E10,0,0,0,,COLD
23,11.8,4.7,36,21.5,1,,E10,0,0,0,,COLD
24,12.3,5.9,62,21.5,6,,E10,0,0,0,,COLD
25,12.4,4.1,57,21.5,9,,E10,0,0,0,,COLD
26,18.4,5.7,21,22.5,2,,E10,0,0,0,,COLD
27,18.4,5.8,28,21.5,3,,E10,0,0,0,,COLD
28,18.3,5.5,29,21.5,1,,E10,0,0,0,,COLD
29,18.4,5.7,35,21.5,4,,E10,0,0,0,,COLD
30,12.3,5.3,51,21.5,11,,E10,0,0,0,,COLD
31,11.8,5.0,29,21.5,10,,E10,0,0,0,,COLD
32,12.3,5.6,58,21.5,8,,E10,0,0,0,,COLD
33,32.6,4.8,40,21.5,7,,E10,0,0,0,,COLD
34,19.0,4.3,36,21.5,7,,E10,0,0,0,,COLD
35,12.1,5.7,36,21.5,8,,E10,0,0,0,,COLD
36,20.0,5.2,37,21.5,4,,E10,0,0,0,,COLD
37,4.9,7.4,26,21.5,6,,E10,0,0,0,,COLD
38,11.8,4.8,23,21.5,9,,E10,0,0,0,,COLD
