distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,refill liters,refill gas,snow,time
153.5,4.9,82,21.5,3,SP98,0,1,0,0.0,No,0,1.8719512195121952
162.7,5.5,75,23.0,1,SP98,0,0,0,45.0,SP98,0,2.1693333333333333
53.2,5.1,71,21.5,2,E10,0,0,0,0.0,No,0,0.7492957746478873
58.7,4.8,75,21.0,0,E10,0,0,0,0.0,No,0,0.7826666666666667
51.6,5.0,73,22.5,12,E10,0,0,0,0.0,No,0,0.7068493150684931
81.2,4.4,69,22.0,13,E10,0,0,0,0.0,No,0,1.1768115942028985
130.3,4.6,85,22.0,12,E10,0,0,0,0.0,No,0,1.5329411764705885
67.2,4.3,67,22.0,18,E10,0,0,0,0.0,No,0,1.0029850746268658
56.1,4.8,82,22.0,13,SP98,0,0,0,0.0,No,0,0.6841463414634147
101.9,5.2,75,22.0,18,E10,0,0,0,0.0,No,0,1.3586666666666667
93.9,4.8,88,23.0,18,E10,1,0,1,0.0,No,0,1.0670454545454546
211.0,4.6,80,22.0,20,SP98,0,0,0,0.0,No,0,2.6375
216.1,5.3,90,22.0,21,SP98,0,0,1,0.0,No,0,2.401111111111111
100.9,4.7,87,23.5,22,E10,0,0,0,0.0,No,0,1.1597701149425288
129.7,4.6,58,24.0,21,E10,0,0,0,0.0,No,0,2.236206896551724
