distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun
28.0,28.0,26,21.5,12,E10,0,0,0
12.0,12.0,30,21.5,13,E10,0,0,0
11.2,11.2,38,21.5,15,E10,0,0,0
12.9,12.9,36,21.5,14,E10,0,0,0
18.5,18.5,46,21.5,15,E10,0,0,0
8.3,8.3,50,21.5,10,E10,0,0,0
7.8,7.8,43,21.5,11,E10,0,0,0
12.3,12.3,40,21.5,6,E10,0,0,0
4.9,4.9,26,21.5,4,E10,0,0,0
11.9,11.9,30,21.5,9,E10,0,0,0
12.4,12.4,42,21.5,4,E10,0,0,0
11.8,11.8,38,21.5,0,E10,0,0,0
12.3,12.3,59,21.5,10,E10,0,0,0
24.7,24.7,58,21.5,12,E10,0,0,0
12.4,12.4,46,21.5,11,E10,0,0,0
17.3,17.3,24,21.5,5,E10,0,0,0
33.4,33.4,36,21.5,3,E10,0,0,0
11.8,11.8,32,21.5,3,E10,0,0,0
25.9,25.9,39,21.5,8,E10,0,0,0
11.8,11.8,40,21.5,4,E10,0,0,0
25.3,25.3,32,21.5,3,E10,0,0,0
14.2,14.2,38,21.5,1,E10,0,0,0
17.9,17.9,37,21.5,1,E10,0,0,0
11.8,11.8,36,21.5,1,E10,0,0,0
12.3,12.3,62,21.5,6,E10,0,0,0
12.4,12.4,57,21.5,9,E10,0,0,0
18.4,18.4,21,22.5,2,E10,0,0,0
18.4,18.4,28,21.5,3,E10,0,0,0
18.3,18.3,29,21.5,1,E10,0,0,0
18.4,18.4,35,21.5,4,E10,0,0,0
12.3,12.3,51,21.5,11,E10,0,0,0
11.8,11.8,29,21.5,10,E10,0,0,0
12.3,12.3,58,21.5,8,E10,0,0,0
32.6,32.6,40,21.5,7,E10,0,0,0
19.0,19.0,36,21.5,7,E10,0,0,0
12.1,12.1,36,21.5,8,E10,0,0,0
20.0,20.0,37,21.5,4,E10,0,0,0
4.9,4.9,26,21.5,6,E10,0,0,0
11.8,11.8,23,21.5,9,E10,0,0,0
12.3,12.3,58,21.5,7,E10,0,0,0
12.4,12.4,55,21.5,7,E10,1,1,0
4.5,4.5,29,21.5,7,E10,1,0,0
11.7,11.7,37,21.5,6,E10,0,0,0
10.2,10.2,44,21.5,7,E10,0,0,0
5.4,5.4,32,21.5,7,SP98,0,0,0
2.0,2.0,21,21.5,4,SP98,0,0,0
14.2,14.2,32,21.5,7,SP98,0,0,0
16.0,16.0,25,21.5,8,SP98,0,0,0
11.8,11.8,25,21.5,11,SP98,0,0,0
27.3,27.3,36,21.5,10,SP98,0,0,0
11.8,11.8,29,21.5,5,SP98,0,1,0
10.6,10.6,63,21.5,6,SP98,0,0,0
11.6,11.6,61,21.5,7,SP98,0,0,0
13.1,13.1,46,21.5,6,SP98,0,1,0
6.1,6.1,28,21.5,8,SP98,0,0,0
153.5,153.5,82,21.5,3,SP98,0,1,0
11.8,11.8,24,21.5,7,SP98,0,0,0
12.3,12.3,61,21.5,8,SP98,0,0,0
12.4,12.4,57,21.5,8,SP98,0,0,0
12.3,12.3,52,21.5,8,SP98,0,1,0
2.9,2.9,18,21.5,9,SP98,1,1,0
2.1,2.1,23,21.5,9,SP98,1,1,0
9.8,9.8,24,21.5,6,SP98,0,0,0
6.8,6.8,26,21.5,6,SP98,0,0,0
12.4,12.4,24,21.5,7,SP98,0,0,0
12.4,12.4,57,21.5,8,SP98,0,0,0
11.8,11.8,41,21.5,6,SP98,0,0,0
12.3,12.3,55,21.5,8,SP98,0,0,0
14.0,14.0,40,21.5,8,SP98,0,0,0
11.8,11.8,37,21.5,4,SP98,1,0,0
12.3,12.3,55,21.5,12,SP98,0,0,0
2.0,2.0,20,21.5,10,SP98,0,0,0
13.9,13.9,29,21.5,6,SP98,0,0,0
9.7,9.7,42,21.5,8,SP98,0,0,0
11.6,11.6,25,21.5,6,SP98,0,0,0
14.2,14.2,38,21.5,7,SP98,0,0,0
11.8,11.8,39,21.5,6,SP98,0,0,0
24.8,24.8,50,21.5,9,SP98,0,0,0
12.4,12.4,56,21.5,7,SP98,0,0,0
34.8,34.8,28,20.0,4,SP98,0,0,0
14.2,14.2,36,20.0,6,SP98,0,0,0
5.2,5.2,39,20.0,10,SP98,0,0,0
10.5,10.5,42,20.0,10,SP98,0,0,0
12.3,12.3,57,20.0,10,SP98,0,0,0
11.8,11.8,25,20.0,11,SP98,0,0,0
12.3,12.3,58,20.0,11,SP98,0,1,0
13.2,13.2,51,20.0,11,SP98,0,1,0
13.0,13.0,45,20.0,11,SP98,0,1,0
12.9,12.9,32,20.0,11,SP98,0,0,0
13.9,13.9,22,20.0,8,SP98,0,0,0
11.8,11.8,37,20.0,6,SP98,0,0,0
12.2,12.2,60,20.0,11,SP98,0,0,0
12.5,12.5,51,20.0,13,SP98,0,0,0
12.4,12.4,43,0.0,10,SP98,0,0,0
11.8,11.8,21,20.0,9,SP98,1,1,0
11.8,11.8,52,0.0,11,SP98,0,0,0
12.5,12.5,57,20.0,11,SP98,0,0,0
15.7,15.7,33,0.0,9,SP98,0,0,0
12.9,12.9,35,0.0,9,SP98,0,0,0
6.4,6.4,37,0.0,10,SP98,0,0,0
5.3,5.3,34,0.0,9,SP98,0,0,0
26.2,26.2,71,21.0,8,SP98,1,1,0
18.8,18.8,62,0.0,9,SP98,0,1,0
4.9,4.9,25,21.0,12,SP98,0,1,0
12.4,12.4,18,21.0,11,SP98,1,1,0
22.9,22.9,45,20.5,7,SP98,0,0,0
162.7,162.7,75,23.0,1,SP98,0,0,0
4.9,4.9,26,21.0,1,SP98,0,0,0
11.8,11.8,36,21.0,4,SP98,0,0,0
16.6,16.6,56,21.0,7,SP98,0,0,0
12.4,12.4,37,21.0,7,SP98,0,0,0
15.9,15.9,25,21.0,7,SP98,0,0,0
5.1,5.1,21,23.5,5,SP98,0,0,0
22.4,22.4,66,20.5,7,SP98,0,0,0
31.1,31.1,42,20.5,7,SP98,0,0,0
4.9,4.9,27,20.5,3,SP98,0,0,0
11.8,11.8,26,23.0,4,SP98,0,1,0
22.9,22.9,42,23.0,4,SP98,0,1,0
12.4,12.4,38,23.0,1,SP98,0,1,0
12.9,12.9,40,23.0,4,SP98,0,0,0
11.8,11.8,43,23.0,0,SP98,0,0,0
12.2,12.2,58,23.0,2,SP98,0,0,0
24.8,24.8,55,23.0,3,SP98,0,0,0
14.2,14.2,24,23.0,8,SP98,0,0,0
11.8,11.8,38,23.0,0,SP98,0,1,0
12.2,12.2,57,23.0,0,SP98,0,1,0
24.7,24.7,56,25.0,1,SP98,0,0,0
6.8,6.8,46,24.0,2,SP98,0,0,0
17.3,17.3,37,21.5,1,SP98,0,0,0
11.8,11.8,44,21.5,-3,SP98,0,0,0
15.9,15.9,46,21.5,5,SP98,0,0,0
5.1,5.1,39,21.5,4,SP98,0,0,0
16.1,16.1,33,21.5,6,SP98,0,0,0
11.8,11.8,43,21.5,3,SP98,0,0,0
4.2,4.2,26,21.5,5,SP98,0,0,0
17.4,17.4,30,21.5,5,SP98,0,0,0
23.5,23.5,25,21.5,5,SP98,0,1,0
11.8,11.8,38,21.5,5,SP98,0,1,0
12.3,12.3,61,21.5,10,SP98,0,1,0
16.1,16.1,24,21.5,7,E10,0,1,0
11.8,11.8,40,21.5,10,E10,0,1,0
12.3,12.3,58,21.5,13,E10,0,0,0
12.4,12.4,49,21.5,17,E10,0,0,0
7.0,7.0,25,21.5,17,E10,0,0,0
11.8,11.8,37,21.5,10,E10,0,0,0
20.1,20.1,41,21.5,18,E10,0,0,0
20.8,20.8,45,21.5,10,E10,0,0,0
1.7,1.7,14,21.5,10,E10,0,1,0
35.9,35.9,45,21.5,12,E10,0,0,0
36.9,36.9,52,21.5,5,E10,0,0,0
16.8,16.8,46,21.5,8,E10,0,0,0
9.9,9.9,28,21.5,9,E10,0,0,0
22.9,22.9,61,21.5,7,E10,0,1,0
17.3,17.3,61,21.5,6,E10,1,1,0
11.8,11.8,37,21.5,7,E10,0,0,0
36.6,36.6,80,21.5,7,E10,0,1,0
44.9,44.9,62,21.5,8,E10,0,0,0
11.8,11.8,34,21.5,9,E10,0,1,0
21.6,21.6,44,21.5,9,E10,0,1,0
39.4,39.4,60,21.5,9,E10,0,1,0
5.1,5.1,39,21.5,4,E10,0,0,0
26.6,26.6,38,21.5,7,E10,0,0,0
53.2,53.2,71,21.5,2,E10,0,0,0
18.9,18.9,53,21.5,2,E10,0,0,0
43.5,43.5,80,21.5,3,E10,0,0,0
6.1,6.1,26,21.5,5,E10,0,0,0
16.4,16.4,49,21.5,5,E10,0,0,0
12.3,12.3,40,21.5,6,E10,0,0,0
21.1,21.1,36,21.5,8,E10,0,0,0
21.1,21.1,43,21.5,7,E10,0,0,0
22.7,22.7,55,21.5,6,E10,0,0,0
44.4,44.4,38,21.5,8,E10,0,0,0
35.8,35.8,51,21.5,6,E10,0,0,0
11.8,11.8,44,21.5,0,E10,0,0,0
26.2,26.2,42,21.5,6,E10,0,0,0
40.6,40.6,44,21.0,3,E10,0,0,0
12.4,12.4,38,21.0,-5,E10,0,0,0
14.1,14.1,47,21.0,-3,E10,0,0,0
58.7,58.7,75,21.0,0,E10,0,0,0
16.2,16.2,29,21.0,0,E10,0,0,0
12.3,12.3,50,22.5,0,E10,0,0,0
12.3,12.3,52,22.5,0,E10,1,1,0
12.4,12.4,51,22.5,1,E10,0,0,0
31.8,31.8,59,22.5,3,E10,0,0,0
12.3,12.3,55,22.5,8,E10,0,0,0
51.6,51.6,73,22.5,12,E10,0,0,0
38.6,38.6,44,22.5,10,E10,0,0,0
12.3,12.3,41,22.5,7,E10,0,0,0
81.2,81.2,69,22.0,13,E10,0,0,0
130.3,130.3,85,22.0,12,E10,0,0,0
67.2,67.2,67,22.0,18,E10,0,0,0
43.7,43.7,44,22.0,9,SP98,0,1,0
12.1,12.1,43,22.0,4,SP98,0,0,0
56.1,56.1,82,22.0,13,SP98,0,0,0
39.0,39.0,61,22.0,16,SP98,0,0,0
11.8,11.8,41,21.5,13,SP98,0,0,0
38.5,38.5,63,21.5,14,SP98,0,0,0
28.2,28.2,54,21.5,14,SP98,0,0,0
2.9,2.9,24,21.5,14,SP98,0,0,0
6.1,6.1,24,21.5,13,SP98,0,0,0
19.6,19.6,43,21.5,13,SP98,0,0,0
22.2,22.2,42,0.0,15,SP98,0,0,0
13.6,13.6,44,19.0,18,SP98,0,0,0
12.6,12.6,33,0.0,17,SP98,0,0,0
8.7,8.7,28,22.5,12,SP98,1,1,0
7.9,7.9,31,22.5,12,SP98,1,0,0
2.4,2.4,26,20.0,10,SP98,0,0,0
4.9,4.9,26,20.0,10,SP98,0,0,0
18.1,18.1,36,20.0,19,SP98,0,0,0
25.9,25.9,39,20.0,21,SP98,0,0,0
1.3,1.3,21,20.0,10,SP98,0,0,0
14.1,14.1,22,20.0,12,SP98,0,0,0
13.4,13.4,31,20.0,9,SP98,0,0,0
6.4,6.4,33,20.0,8,SP98,0,0,0
12.9,12.9,42,20.0,13,SP98,0,0,0
12.1,12.1,33,22.5,5,SP98,0,0,0
15.7,15.7,32,22.5,13,SP98,0,0,0
16.2,16.2,26,22.5,11,SP98,0,0,0
12.8,12.8,22,22.5,12,SP98,0,0,0
19.0,19.0,58,22.5,17,SP98,0,0,1
29.0,29.0,27,22.5,12,SP98,0,0,0
12.1,12.1,32,22.5,9,SP98,0,0,0
12.3,12.3,55,22.5,10,SP98,0,0,0
24.8,24.8,56,22.5,11,SP98,0,0,0
12.9,12.9,34,22.5,8,SP98,0,1,0
11.8,11.8,39,22.5,3,SP98,0,0,0
31.4,31.4,62,22.5,11,SP98,0,0,0
19.0,19.0,53,22.5,4,SP98,0,1,0
13.0,13.0,38,22.5,3,SP98,1,1,0
11.8,11.8,42,22.5,2,SP98,0,0,0
13.0,13.0,32,22.5,4,SP98,0,0,0
11.8,11.8,43,22.5,1,SP98,0,0,0
27.1,27.1,69,22.5,8,SP98,0,0,0
5.2,5.2,38,22.5,8,SP98,0,0,0
19.0,19.0,29,22.5,10,E10,0,0,0
12.4,12.4,38,22.5,1,E10,0,0,0
25.2,25.2,55,22.5,9,E10,0,0,0
14.3,14.3,36,22.5,10,E10,0,0,0
11.8,11.8,40,22.5,2,E10,0,0,0
16.9,16.9,48,22.5,9,E10,0,0,1
12.4,12.4,55,22.5,11,E10,0,0,1
17.4,17.4,36,22.5,12,E10,0,0,1
9.2,9.2,33,22.5,8,E10,0,1,0
12.3,12.3,54,22.5,10,E10,0,1,0
13.0,13.0,32,22.5,10,E10,0,0,0
11.8,11.8,16,22.5,6,E10,0,1,0
13.0,13.0,37,22.5,11,E10,0,1,0
12.3,12.3,42,22.5,10,E10,0,0,0
12.3,12.3,57,22.5,15,E10,0,0,1
12.5,12.5,57,22.5,16,E10,0,0,1
31.5,31.5,30,22.5,16,E10,0,0,1
11.8,11.8,42,22.5,8,E10,0,0,0
24.9,24.9,53,22.5,14,E10,0,0,0
17.0,17.0,46,22.5,14,E10,0,0,1
2.0,2.0,20,22.5,14,E10,0,0,0
11.8,11.8,33,22.5,8,E10,0,0,0
7.4,7.4,31,22.5,12,E10,0,0,0
12.4,12.4,55,22.5,14,E10,0,0,1
2.0,2.0,22,22.5,14,E10,0,0,0
14.0,14.0,41,22.5,8,E10,0,0,0
25.7,25.7,45,22.5,7,E10,0,0,0
24.5,24.5,50,0.0,15,E10,0,0,1
11.8,11.8,28,22.5,12,E10,0,0,0
4.1,4.1,24,22.5,13,E10,0,0,0
4.2,4.2,29,22.0,17,E10,0,0,0
4.2,4.2,29,22.0,18,E10,0,0,1
16.0,16.0,40,22.0,10,E10,0,0,0
22.9,22.9,29,0.0,21,E10,0,0,0
16.0,16.0,42,0.0,8,E10,0,0,0
15.4,15.4,50,22.0,14,E10,0,0,0
16.0,16.0,41,22.0,12,E10,0,0,0
4.2,4.2,32,22.0,18,E10,0,0,0
101.9,101.9,75,22.0,18,E10,0,0,0
93.9,93.9,88,23.0,18,E10,1,0,1
25.7,25.7,50,22.0,10,SP98,0,1,0
16.0,16.0,40,22.0,10,SP98,0,0,0
16.1,16.1,32,22.0,19,SP98,0,0,0
16.0,16.0,40,22.0,7,SP98,1,1,0
16.0,16.0,41,22.0,11,SP98,0,0,0
24.7,24.7,26,22.0,10,SP98,0,0,0
16.0,16.0,42,22.0,8,SP98,0,0,0
15.4,15.4,43,22.0,16,SP98,0,0,0
16.0,16.0,40,22.0,8,SP98,0,0,0
32.1,32.1,50,22.0,16,SP98,0,0,0
25.9,25.9,40,22.0,14,SP98,0,0,0
48.6,48.6,44,22.0,12,SP98,0,0,0
37.2,37.2,45,22.0,20,SP98,0,0,1
28.8,28.8,35,22.0,15,SP98,0,0,1
6.7,6.7,30,22.0,17,SP98,0,0,0
7.4,7.4,25,22.0,18,SP98,0,0,1
17.3,17.3,22,22.0,25,SP98,0,0,1
6.6,6.6,43,22.0,16,SP98,0,0,0
14.3,14.3,26,22.0,20,SP98,0,0,0
13.3,13.3,33,22.0,18,SP98,0,0,0
8.3,8.3,26,22.0,23,SP98,0,0,0
12.7,12.7,39,22.0,27,SP98,0,0,1
16.5,16.5,47,22.0,14,SP98,0,0,0
20.6,20.6,38,22.0,21,SP98,0,0,0
16.3,16.3,58,22.0,16,SP98,0,0,0
18.7,18.7,65,25.0,18,SP98,1,0,1
36.5,36.5,54,23.0,18,SP98,0,0,1
19.0,19.0,35,22.0,15,SP98,1,0,1
16.6,16.6,46,22.0,5,SP98,1,0,0
29.9,29.9,32,22.0,18,SP98,1,0,0
16.0,16.0,42,22.0,11,SP98,0,0,0
21.1,21.1,33,22.0,10,SP98,0,1,0
16.0,16.0,40,22.0,10,SP98,0,0,0
11.9,11.9,34,22.0,13,SP98,0,0,0
10.1,10.1,35,22.0,16,SP98,0,0,0
31.9,31.9,33,22.0,16,SP98,0,0,0
18.7,18.7,60,22.0,13,SP98,0,0,0
10.8,10.8,48,22.0,17,SP98,0,0,1
19.8,19.8,56,22.0,17,SP98,0,0,1
11.3,11.3,38,22.0,17,SP98,0,0,0
11.5,11.5,53,22.0,15,SP98,0,0,0
21.4,21.4,51,22.0,13,SP98,0,0,0
32.0,32.0,53,22.0,15,SP98,0,0,0
41.9,41.9,53,22.0,14,SP98,0,0,0
211.0,211.0,80,22.0,20,SP98,0,0,0
216.1,216.1,90,22.0,21,SP98,0,0,1
25.5,25.5,27,22.0,27,SP98,0,0,1
16.6,16.6,52,22.0,15,SP98,0,1,0
