distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,refill liters,refill gas,snow,time
33.4,5.6,36,21.5,3,E10,0,0,0,0.0,No,0,0.9277777777777776
32.6,4.8,40,21.5,7,E10,0,0,0,0.0,No,0,0.8150000000000001
34.8,4.0,28,20.0,4,SP98,0,0,0,0.0,No,0,1.2428571428571429
31.1,4.7,42,20.5,7,SP98,0,0,0,0.0,No,0,0.7404761904761905
35.9,4.7,45,21.5,12,E10,0,0,0,0.0,No,0,0.7977777777777777
36.9,4.8,52,21.5,5,E10,0,0,0,0.0,No,0,0.7096153846153845
36.6,5.2,80,21.5,7,E10,0,1,0,0.0,No,0,0.4575
44.9,4.7,62,21.5,8,E10,0,0,0,0.0,No,0,0.7241935483870967
39.4,5.3,60,21.5,9,E10,0,1,0,0.0,No,0,0.6566666666666666
43.5,5.0,80,21.5,3,E10,0,0,0,0.0,No,0,0.54375
44.4,4.8,38,21.5,8,E10,0,0,0,38.3,E10,0,1.1684210526315788
35.8,4.4,51,21.5,6,E10,0,0,0,0.0,No,0,0.7019607843137254
40.6,4.4,44,21.0,3,E10,0,0,0,0.0,No,0,0.9227272727272728
31.8,4.7,59,22.5,3,E10,0,0,0,0.0,No,0,0.5389830508474577
38.6,4.6,44,22.5,10,E10,0,0,0,0.0,No,0,0.8772727272727273
43.7,4.7,44,22.0,9,SP98,0,1,0,10.0,SP98,0,0.9931818181818184
39.0,4.1,61,22.0,16,SP98,0,0,0,0.0,No,0,0.639344262295082
38.5,4.8,63,21.5,14,SP98,0,0,0,0.0,No,0,0.6111111111111112
31.4,4.6,62,22.5,11,SP98,0,0,0,0.0,No,0,0.5064516129032258
31.5,4.1,30,22.5,16,E10,0,0,1,0.0,No,0,1.05
32.1,4.5,50,22.0,16,SP98,0,0,0,0.0,No,0,0.642
48.6,4.3,44,22.0,12,SP98,0,0,0,0.0,No,0,1.1045454545454545
37.2,4.0,45,22.0,20,SP98,0,0,1,0.0,No,0,0.8266666666666668
36.5,3.9,54,23.0,18,SP98,0,0,1,0.0,No,0,0.6759259259259259
31.9,4.3,33,22.0,16,SP98,0,0,0,0.0,No,0,0.9666666666666668
32.0,4.9,53,22.0,15,SP98,0,0,0,0.0,No,0,0.6037735849056604
41.9,4.7,53,22.0,14,SP98,0,0,0,0.0,No,0,0.790566037735849
39.5,4.2,58,22.0,25,E10,0,0,0,0.0,No,0,0.6810344827586207
32.1,3.9,47,22.0,26,SP98,0,0,0,0.0,No,0,0.6829787234042554
